,Type,Name,Amount,NPV
0,Operating Expenses,Administrative expenses,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0.0
1,Operating Expenses,Wave O&M Cost,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0.0
2,Operating Expenses,Licensing and Permitting,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0.0
3,Operating Expenses,Rent of land,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0.0
4,Financing cash outflow,Capital gains taxes payable,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0.0
5,Operating Expenses,Labor,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0.0
6,Operating Expenses,Total annual maintenance,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0.0
7,Operating Expenses,Installation cost,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.0
8,Operating Expenses,Sales tax,"[-0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0.
 -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0.]",0.0
9,Financing cash outflow,Wave System,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0.0
10,Operating Expenses,Road tax,"[-0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0.
 -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0.]",0.0
11,Operating Expenses,Credit card fees,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0.0
12,Operating Expenses,Battery O&M Cost,"[ 0.          0.          0.          9.21938625 42.888      42.888
 42.888      42.888      42.888      42.888      42.888      42.888
 42.888      42.888      42.888      42.888      42.888      42.888
 42.888      42.888      42.888      42.888      42.888      42.888
 42.888      42.888      42.888      42.888      42.888      42.888
 42.888      42.888      42.888      33.66861375]",6.39120406484534e-07
13,Operating Expenses,Solar O&M Cost,"[   0.            0.            0.          430.14344063 2001.
 2001.         2001.         2001.         2001.         2001.
 2001.         2001.         2001.         2001.         2001.
 2001.         2001.         2001.         2001.         2001.
 2001.         2001.         2001.         2001.         2001.
 2001.         2001.         2001.         2001.         2001.
 2001.         2001.         2001.         1570.85655937]",2.9819062054083958e-05
14,Financing cash outflow,Solar System,"[991000.      0.      0.      0.      0.      0.      0.      0.      0.
      0.      0.      0.      0.      0.      0.      0.      0.      0.
      0.      0.      0.      0.      0.      0.      0.      0.      0.
      0.      0.      0.      0.      0.      0.      0.]",0.0004922653755721672
15,Operating Expenses,Non-depreciable assets,"[-1000000.       -0.       -0.       -0.       -0.       -0.       -0.
       -0.       -0.       -0.       -0.       -0.       -0.       -0.
       -0.       -0.       -0.       -0.       -0.       -0.       -0.
       -0.       -0.       -0.       -0.       -0.       -0.       -0.
       -0.       -0.       -0.       -0.       -0.       -0.]",0.0004967359995682818
16,Financing cash outflow,Battery System,"[37000000.        0.        0.        0.        0.        0.        0.
        0.        0.        0.        0.        0.        0.        0.
        0.        0.        0.        0.        0.        0.        0.
        0.        0.        0.        0.        0.        0.        0.
        0.        0.        0.        0.        0.        0.]",0.018379231984026426
