Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,593825,-,-,-,38.01,-100.82,-6,879,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle,Pressure,Dew Point
2013,1,1,0,30,0,0,0,2.7,-7,164.54,910,-10
2013,1,1,1,30,0,0,0,2.6,-7,162.35,910,-10
2013,1,1,2,30,0,0,0,2.6,-8,153.32,910,-10
2013,1,1,3,30,0,0,0,2.7,-8,142.15,910,-10
2013,1,1,4,30,0,0,0,2.8000000000000003,-8,130.41,910,-10
2013,1,1,5,30,0,0,0,2.7,-8,118.63,910,-10
2013,1,1,6,30,0,0,0,2.5,-8,107.08,910,-10
2013,1,1,7,30,0,0,0,2.2,-8,96.01,920,-10
2013,1,1,8,30,50,32,243,2.1,-7,85.69,920,-10
2013,1,1,9,30,214,75,597,2.1,-5,76.49,920,-9
2013,1,1,10,30,63,63,0,1.7000000000000002,-4,68.92,920,-9
2013,1,1,11,30,79,79,0,1.4000000000000001,-3,63.58,920,-8
2013,1,1,12,30,131,131,0,1.2000000000000002,-1,61.08,920,-7
2013,1,1,13,30,517,105,870,1.2000000000000002,0,61.77,920,-7
2013,1,1,14,30,442,94,840,1.2000000000000002,0,65.55,920,-7
2013,1,1,15,30,313,77,761,1.2000000000000002,0,71.93,920,-7
2013,1,1,16,30,148,50,582,0.9,-2,80.27,910,-7
2013,1,1,17,30,0,0,0,0.8,-3,89.99,920,-8
