,Comment,P_nodes,P_losses,P_losses_percent,s_NR,i_NR,v_NR
0,,"[[12.013+0.87825707j]
 [ 6.637+0.20699359j]
 [ 1.224+0.097805j  ]
 [13.188+0.99866201j]
 [ 2.194+0.09487757j]
 [ 0.199+0.00730278j]
 [ 9.787+0.52622984j]]",(5.220631210534066e-05+0.001967422370632077j),(0.00011539346648101468+0.07001184531307125j),"[[-2.26210000e-05-1.40411520e-06j]
 [ 6.00651213e-06+4.39144785e-07j]
 [ 3.31850240e-06+1.03500014e-07j]
 [ 6.12000124e-07+4.89026660e-08j]
 [ 6.59400706e-06+4.99340464e-07j]
 [ 1.09700043e-06+4.74393659e-08j]
 [ 9.95000014e-08+3.65139086e-09j]
 [ 4.89350396e-06+2.63120221e-07j]]","[[-2.26210000e-05+1.40411520e-06j]
 [ 6.00650000e-06-4.39128536e-07j]
 [ 3.31850000e-06-1.03496794e-07j]
 [ 6.12000000e-07-4.89025005e-08j]
 [ 6.59400000e-06-4.99331005e-07j]
 [ 1.09700000e-06-4.74387860e-08j]
 [ 9.95000003e-08-3.65138939e-09j]
 [ 4.89350000e-06-2.63114920e-07j]]","[[1.        +0.00000000e+00j]
 [1.0000022 +2.54404488e-06j]
 [1.00000075+9.46715705e-07j]
 [1.00000022+2.52715286e-07j]
 [1.00000117+1.34576679e-06j]
 [1.00000042+5.10587376e-07j]
 [1.00000001+1.43867299e-08j]
 [1.00000086+1.03694451e-06j]]"
1,,"[[13.117+1.04518173e+00j]
 [ 5.089+3.94422911e-01j]
 [ 0.   +0.00000000e+00j]
 [ 9.819+5.56078954e-01j]
 [ 2.473+9.54929577e-02j]
 [ 3.411+2.01223478e-02j]
 [ 0.542+4.25554968e-04j]]",(4.1361207001600064e-05+0.0019528918510376414j),(0.00012005807379060131+0.09247853531781744j),"[[-1.72255000e-05-1.05491349e-06j]
 [ 6.55851447e-06+5.22610259e-07j]
 [ 2.54450142e-06+1.97213358e-07j]
 [ 0.00000000e+00+0.00000000e+00j]
 [ 4.90950390e-06+2.78044708e-07j]
 [ 1.23650055e-06+4.77472152e-08j]
 [ 1.70550032e-06+1.00616056e-08j]
 [ 2.71000012e-07+2.12793568e-10j]]","[[-1.72255e-05+1.05491349e-06j]
 [ 6.55850e-06-5.22590867e-07j]
 [ 2.54450e-06-1.97211456e-07j]
 [ 0.00000e+00+0.00000000e+00j]
 [ 4.90950e-06-2.78039477e-07j]
 [ 1.23650e-06-4.77464788e-08j]
 [ 1.70550e-06-1.00611735e-08j]
 [ 2.71000e-07-2.12777351e-10j]]","[[1.        +0.00000000e+00j]
 [1.00000243+2.76342989e-06j]
 [1.00000061+7.00218106e-07j]
 [1.        +1.36701502e-11j]
 [1.00000085+1.01711371e-06j]
 [1.00000047+5.77569413e-07j]
 [1.00000019+2.52200343e-07j]
 [1.00000004+5.98041567e-08j]]"
2,,"[[11.203+1.11014691j]
 [ 1.105+0.02742316j]
 [ 0.   +0.j        ]
 [ 8.15 +0.12292644j]
 [ 2.718+0.25902395j]
 [ 5.075+0.38728034j]
 [ 0.055+0.00405945j]]",(2.94581244038028e-05+0.0019369411016571525j),(0.00010407024801739137+0.10136487424209982j),"[[-1.41530000e-05-9.54481395e-07j]
 [ 5.60151059e-06+5.55087652e-07j]
 [ 5.52500067e-07+1.37116705e-08j]
 [ 0.00000000e+00+0.00000000e+00j]
 [ 4.07500268e-06+6.14668124e-08j]
 [ 1.35900067e-06+1.29512872e-07j]
 [ 2.53750072e-06+1.93641134e-07j]
 [ 2.75000002e-08+2.02972456e-09j]]","[[-1.41530000e-05+9.54481395e-07j]
 [ 5.60150000e-06-5.55073457e-07j]
 [ 5.52500000e-07-1.37115812e-08j]
 [ 0.00000000e+00+0.00000000e+00j]
 [ 4.07500000e-06-6.14632195e-08j]
 [ 1.35900000e-06-1.29511976e-07j]
 [ 2.53750000e-06-1.93640172e-07j]
 [ 2.75000001e-08-2.02972439e-09j]]","[[1.        +0.00000000e+00j]
 [1.00000212+2.32384256e-06j]
 [1.00000012+1.58398181e-07j]
 [1.        +1.36701502e-11j]
 [1.00000067+8.71565166e-07j]
 [1.00000055+6.07136097e-07j]
 [1.00000031+3.55420501e-07j]
 [1.        +5.75011152e-09j]]"
3,,"[[9.863+0.76797419j]
 [0.025+0.00235331j]
 [0.   +0.j        ]
 [4.225+0.23820883j]
 [2.295+0.09423062j]
 [3.053+0.25692495j]
 [0.   +0.j        ]]",(1.9271498247430685e-05+0.0019232952059639596j),(9.902624863794606e-05+0.1414508087960771j),"[[-9.73050000e-06-6.78897220e-07j]
 [ 4.93150818e-06+3.83998058e-07j]
 [ 1.25000001e-08+1.17665609e-09j]
 [ 0.00000000e+00+0.00000000e+00j]
 [ 2.11250072e-06+1.19105383e-07j]
 [ 1.14750047e-06+4.71159469e-08j]
 [ 1.52650026e-06+1.28462824e-07j]
 [-4.44089210e-16-6.07081443e-27j]]","[[-9.73050000e-06+6.78897220e-07j]
 [ 4.93150000e-06-3.83987097e-07j]
 [ 1.25000001e-08-1.17665604e-09j]
 [ 0.00000000e+00+0.00000000e+00j]
 [ 2.11250000e-06-1.19104415e-07j]
 [ 1.14750000e-06-4.71153125e-08j]
 [ 1.52650000e-06-1.28462476e-07j]
 [-4.44089210e-16+0.00000000e+00j]]","[[1.        +0.00000000e+00j]
 [1.00000182+2.08089182e-06j]
 [1.        +3.40815660e-09j]
 [1.        +1.36701502e-11j]
 [1.00000037+4.37745830e-07j]
 [1.00000043+5.34991446e-07j]
 [1.00000019+2.12490843e-07j]
 [1.        +1.36702588e-11j]]"
4,,"[[8.61 +0.04387007j]
 [0.   +0.j        ]
 [0.   +0.j        ]
 [0.   +0.j        ]
 [2.193+0.03372813j]
 [2.372+0.04830428j]
 [0.   +0.j        ]]",(1.356441684174925e-05+0.001915652403141871j),(0.00010295572555407401+1.5215366705507367j),"[[-6.58750000e-06-6.20025036e-08j]
 [ 4.30500620e-06+2.19433373e-08j]
 [ 1.12912369e-17+1.51289323e-17j]
 [ 0.00000000e+00+0.00000000e+00j]
 [-1.02864345e-17-1.37826150e-17j]
 [ 1.09650043e-06+1.68646452e-08j]
 [ 1.18600016e-06+2.41523472e-08j]
 [-4.44089210e-16-6.07081443e-27j]]","[[-6.58750000e-06+6.20025036e-08j]
 [ 4.30500000e-06-2.19350345e-08j]
 [ 1.12912369e-17-1.51289323e-17j]
 [ 0.00000000e+00+0.00000000e+00j]
 [-1.02864345e-17+1.37826150e-17j]
 [ 1.09650000e-06-1.68640668e-08j]
 [ 1.18600000e-06-2.41521382e-08j]
 [-4.44089210e-16+0.00000000e+00j]]","[[1.        +0.00000000e+00j]
 [1.00000145+1.92127813e-06j]
 [1.        +1.36702020e-11j]
 [1.        +1.36701502e-11j]
 [1.        +1.36701934e-11j]
 [1.0000004 +5.21321670e-07j]
 [1.00000014+1.73481955e-07j]
 [1.        +1.36702588e-11j]]"
5,,"[[1.622+0.14471694j]
 [0.   +0.j        ]
 [0.   +0.j        ]
 [0.   +0.j        ]
 [2.428+0.19184685j]
 [1.555+0.0623711j ]
 [0.   +0.j        ]]",(1.64101237332126e-06+0.0018996730455016833j),(2.9277651620361467e-05+0.4761862378546134j),"[[-2.80250000e-06-1.98518709e-07j]
 [ 8.11000222e-07+7.23587673e-08j]
 [ 1.12912369e-17+1.51289323e-17j]
 [ 0.00000000e+00+0.00000000e+00j]
 [-1.02864345e-17-1.37826150e-17j]
 [ 1.21400053e-06+9.59241371e-08j]
 [ 7.77500067e-07+3.11856411e-08j]
 [-4.44089210e-16-6.07081443e-27j]]","[[-2.80250000e-06+1.98518709e-07j]
 [ 8.11000000e-07-7.23584703e-08j]
 [ 1.12912369e-17-1.51289323e-17j]
 [ 0.00000000e+00+0.00000000e+00j]
 [-1.02864345e-17+1.37826150e-17j]
 [ 1.21400000e-06-9.59234239e-08j]
 [ 7.77500000e-07-3.11855511e-08j]
 [-4.44089210e-16+0.00000000e+00j]]","[[1.        +0.00000000e+00j]
 [1.0000003 +3.39140757e-07j]
 [1.        +1.36702020e-11j]
 [1.        +1.36701502e-11j]
 [1.        +1.36701934e-11j]
 [1.00000048+5.49454972e-07j]
 [1.00000009+1.12031657e-07j]
 [1.        +1.36702588e-11j]]"
6,,"[[0.205+0.01939443j]
 [0.097+0.0047822j ]
 [0.   +0.j        ]
 [0.   +0.j        ]
 [2.038+0.11491614j]
 [4.993+0.17508252j]
 [1.851+0.04661078j]]",(2.419009462073518e-06+0.0019007150658461036j),(2.6339388742089696e-05+0.5268260479625869j),"[[-4.59200000e-06-1.79444307e-07j]
 [ 1.02500003e-07+9.69722023e-09j]
 [ 4.85000005e-08+2.39110309e-09j]
 [ 0.00000000e+00+0.00000000e+00j]
 [-1.02864345e-17-1.37826150e-17j]
 [ 1.01900037e-06+5.74585711e-08j]
 [ 2.49650069e-06+8.75421895e-08j]
 [ 9.25500141e-07+2.33055802e-08j]]","[[-4.59200000e-06+1.79444307e-07j]
 [ 1.02500000e-07-9.69721548e-09j]
 [ 4.85000000e-08-2.39110240e-09j]
 [ 0.00000000e+00+0.00000000e+00j]
 [-1.02864345e-17+1.37826150e-17j]
 [ 1.01900000e-06-5.74580701e-08j]
 [ 2.49650000e-06-8.75412627e-08j]
 [ 9.25500000e-07-2.33053910e-08j]]","[[1.        +0.00000000e+00j]
 [1.00000004+4.26904127e-08j]
 [1.00000001+1.36582542e-08j]
 [1.        +1.36701502e-11j]
 [1.        +1.36701934e-11j]
 [1.00000039+4.69476887e-07j]
 [1.00000029+3.61091795e-07j]
 [1.00000016+2.00485842e-07j]]"
7,,"[[ 5.819+0.51792476j]
 [ 5.608+0.48329918j]
 [18.595+0.61204367j]
 [ 0.082+0.0070011j ]
 [ 2.423+0.02801128j]
 [ 8.596+0.66300691j]
 [11.797+0.06427991j]]",(8.251346955745475e-05+0.002008034628005584j),(0.00015592114428846326+0.08452865291503942j),"[[-2.64600000e-05-1.18683467e-06j]
 [ 2.90950285e-06+2.58966202e-07j]
 [ 2.80400173e-06+2.41651903e-07j]
 [ 9.29752836e-06+3.06059835e-07j]
 [ 4.10000002e-08+3.50055062e-09j]
 [ 1.21150053e-06+1.40063467e-08j]
 [ 4.29800206e-06+3.31506216e-07j]
 [ 5.89850573e-06+3.21476353e-08j]]","[[-2.6460e-05+1.18683467e-06j]
 [ 2.9095e-06-2.58962380e-07j]
 [ 2.8040e-06-2.41649589e-07j]
 [ 9.2975e-06-3.06021837e-07j]
 [ 4.1000e-08-3.50055026e-09j]
 [ 1.2115e-06-1.40056406e-08j]
 [ 4.2980e-06-3.31503456e-07j]
 [ 5.8985e-06-3.21399543e-08j]]","[[1.        +0.00000000e+00j]
 [1.00000109+1.21685741e-06j]
 [1.00000068+7.66325534e-07j]
 [1.00000318+3.98223444e-06j]
 [1.00000001+8.31735632e-09j]
 [1.00000044+5.77656914e-07j]
 [1.00000053+6.01609457e-07j]
 [1.00000098+1.29686210e-06j]]"
8,,"[[18.726+1.18410596j]
 [ 1.183+0.06337223j]
 [32.812+0.99736582j]
 [ 3.592+0.08994399j]
 [18.943+1.73165387j]
 [13.361+0.91083845j]
 [11.364+0.67522479j]]",(0.00032217931519795684+0.002329161405063118j),(0.00032224054090072797+0.041205825746373444j),"[[-4.99905000e-05-2.82530382e-06j]
 [ 9.36302943e-06+5.92092409e-07j]
 [ 5.91500077e-07+3.16862180e-08j]
 [ 1.64060883e-05+4.98801208e-07j]
 [ 1.79600052e-06+4.49726927e-08j]
 [ 9.47153247e-06+8.65870442e-07j]
 [ 6.68050497e-06+4.55425883e-07j]
 [ 5.68200534e-06+3.37619546e-07j]]","[[-4.99905e-05+2.82530382e-06j]
 [ 9.36300e-06-5.92052978e-07j]
 [ 5.91500e-07-3.16861155e-08j]
 [ 1.64060e-05-4.98682912e-07j]
 [ 1.79600e-06-4.49719945e-08j]
 [ 9.47150e-06-8.65826935e-07j]
 [ 6.68050e-06-4.55419224e-07j]
 [ 5.68200e-06-3.37612393e-07j]]","[[1.        +0.00000000e+00j]
 [1.0000034 +3.99659413e-06j]
 [1.00000014+1.65871012e-07j]
 [1.0000056 +7.04042080e-06j]
 [1.0000003 +3.81250914e-07j]
 [1.00000382+4.24454090e-06j]
 [1.00000081+9.41724263e-07j]
 [1.00000101+1.19873839e-06j]]"
9,,"[[ 9.201+0.53878347j]
 [18.638+0.4548772j ]
 [42.467+0.16740741j]
 [19.673+1.25533565j]
 [14.193+0.7504759j ]
 [18.617+1.13868267j]
 [13.171+1.24841542j]]",(0.00044891787567280517+0.002498973930401771j),(0.0003301837861671118+0.044994309671611124j),"[[-6.79800000e-05-2.77604012e-06j]
 [ 4.60050710e-06+2.69401247e-07j]
 [ 9.31901894e-06+2.27463979e-07j]
 [ 2.12336478e-05+8.39016790e-08j]
 [ 9.83651568e-06+6.27688842e-07j]
 [ 7.09651813e-06+3.75262241e-07j]
 [ 9.30850964e-06+5.69354250e-07j]
 [ 6.58550721e-06+6.24217369e-07j]]","[[-6.79800e-05+2.77604012e-06j]
 [ 4.60050e-06-2.69391733e-07j]
 [ 9.31900e-06-2.27438598e-07j]
 [ 2.12335e-05-8.37037035e-08j]
 [ 9.83650e-06-6.27667827e-07j]
 [ 7.09650e-06-3.75237952e-07j]
 [ 9.30850e-06-5.69341333e-07j]
 [ 6.58550e-06-6.24207709e-07j]]","[[1.        +0.00000000e+00j]
 [1.00000166+1.97092203e-06j]
 [1.0000021 +2.67231601e-06j]
 [1.000007  +9.29615779e-06j]
 [1.00000172+2.02644180e-06j]
 [1.00000273+3.27838185e-06j]
 [1.00000112+1.31940864e-06j]
 [1.00000122+1.35097435e-06j]]"
