,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Wind,-2412300.0,71550.00840014075,140154.17944350874,69062.86970338615,22705.15022829736,25275.261790623066,-10092.92741553788,-45468.91887314936,-42956.47624942854,-45211.1218663965,-42791.30294263408,-134932.42645726615,-137334.43623994375,-139780.9251722711,-142283.2690883566,-144832.3917240824,-148255.70288222324,-151730.76442974457,-154445.40740026673,-157216.8901899535,-160046.52353173302,-163415.63721673106,-166845.6186973874,-169857.8886724768,-172933.87669202007,-176075.05982007922
Solar,-27625000.0,6834368.45449592,1063226.8884318161,315345.95273082174,-138840.81523255754,-152453.75378385023,-496768.4814360887,-840920.5510375598,-854437.7335015286,-868162.0828984065,-882205.4119146436,-896456.1317251555,-911037.3121999006,-925837.6347577617,-940980.4461009415,-956354.7112318748,-981428.430792209,-1006775.8195884658,-1023088.509294034,-1039717.7008422124,-1056670.3936250661,-1079450.4372629218,-1102568.482534384,-1120535.3542818122,-1138855.4244197672,-1157536.5631739798
