,Scenario Choice,Count,Site Lat,Site Lon,ATB Year,Resource Year,Site Name,Critical Load Factor,kW continuous load,PTC,ITC,Hub Height (m),Useful Life,Storage Enabled,Wind Cost kW,Solar Cost kW,Storage Cost kW,Storage Cost kWh,Storage Hours,Wind MW built,Solar MW built,Storage MW built,Storage MWh built,Battery Can Grid Charge,Built Interconnection Size,REOpt Interconnection Size,LCOE,Levelized cost of H2 (excl. electricity) (H2A),Levelized H2 Elec Feedstock Cost/kg (HOPP),Total H2 cost/kg,Total Annual H2 production (kg),H2 Elec Feedstock Cost/kg (HOPP) Net Cap Cost Method,H2 Elec Feedstock Cost/kg (REopt) Net Cap Cost Method,Electrolyzer Size,Electrolyzer Total System Size,H2A scaled total install cost,H2A scaled total install cost per kw,REOpt Energy Shortfall,REOpt Curtailment,Grid Connected HOPP,HOPP Total Generation,HOPP Energy Shortfall,HOPP Curtailment,Battery Generation,Electricity to Grid
0,3MW 160HH GA,1,33.162,-83.8,2030,2013,Special_Hybrid_H2,0.9,150,no,no,160,30,False,1359,9999,1000,1100,13.700527711349219,150,0,0,0,False,150000,150,3.902507229926041,1.6741814647273112,2.165891512608953,3.840072977336264,1235826.3477387328,5.925969417770846,223.24475064916285,9.08108108108108,10,4339579.041312115,433.95790413121154,0,239174203.379,True,485693072.8233753,171894.64261181,0.0,0.0,0.0
1,3MW 90HH GA,1,33.162,-83.8,2030,2013,Special_Hybrid_H2,0.9,150,no,no,90,30,False,1133,9999,1000,1100,13.700527711349219,150,0,0,0,False,150000,150,4.570418329321172,1.763482283736674,2.5365821727732505,4.300064456509924,1150069.5908249535,5.294548113546664,223.24475064916285,9.08108108108108,10,4100196.7328113825,410.01967328113824,0,239174203.379,True,382717088.00454015,218821.0540801049,0.0,0.0,0.0
2,2018 COE 160HH GA,1,33.162,-83.8,2030,2013,Special_Hybrid_H2,0.9,150,no,no,160,30,False,1380,9999,1000,1100,13.700527711349219,150,0,0,0,False,150000,150,3.944857135958449,1.6741814647273112,2.189395710456939,3.86357717518425,1235826.3477387328,6.010874279146727,223.24475064916285,9.08108108108108,10,4339579.041312115,433.95790413121154,0,239174203.379,True,485693072.8233753,171894.64261181,0.0,0.0,0.0
3,2018 COE 90HH GA,1,33.162,-83.8,2030,2013,Special_Hybrid_H2,0.9,150,no,no,90,30,False,1185,9999,1000,1100,13.700527711349219,150,0,0,0,False,150000,150,4.703507649203748,1.763482283736674,2.6104467453080797,4.373929029044754,1150069.5908249535,5.520465646006839,223.24475064916285,9.08108108108108,10,4100196.7328113825,410.01967328113824,0,239174203.379,True,382717088.00454015,218821.0540801049,0.0,0.0,0.0
4,ATB ADV GA,1,33.162,-83.8,2030,2013,Special_Hybrid_H2,0.9,150,no,no,135,30,False,940,9999,1000,1100,13.700527711349219,150,0,0,0,False,150000,150,4.5172076756478425,1.7865714214502852,2.5070502599845526,4.293621681434837,1130564.719274857,4.414084360432345,223.24475064916285,9.08108108108108,10,4051744.42976659,405.17444297665895,0,239174203.379,True,343576975.79577637,253819.3341245377,0.0,0.0,0.0
5,3MW 160HH High TX,1,35.23328,-102.287,2030,2013,Special_Hybrid_H2,0.9,150,no,no,160,30,False,1359,9999,1000,1100,13.700527711349219,150,0,0,0,False,150000,150,2.346674880023548,1.5171466595622365,1.3024045584130692,2.819551217975306,1424618.5543457908,5.316747863824973,223.24475064916285,9.08108108108108,10,4880811.27693439,488.081127693439,0,239174203.379,True,731472784.6497314,74971.83691138281,0.0,0.0,0.0
6,3MW 90HH High TX,1,35.23328,-102.287,2030,2013,Special_Hybrid_H2,0.9,150,no,no,90,30,False,1133,9999,1000,1100,13.700527711349219,150,0,0,0,False,150000,150,2.1400858208744036,1.518151533316493,1.187747630585294,2.705899163901787,1423643.2332451434,4.509635179890962,223.24475064916285,9.08108108108108,10,4880572.642814379,488.05726428143794,0,239174203.379,True,707009702.9731576,70828.55644291268,0.0,0.0,0.0
7,2018 COE 160HH High TX,1,35.23328,-102.287,2030,2013,Special_Hybrid_H2,0.9,150,no,no,160,30,False,1380,9999,1000,1100,13.700527711349219,150,0,0,0,False,150000,150,2.374796767730104,1.5171466595622365,1.3180122060902075,2.835158865652444,1424618.5543457908,5.390401028329491,223.24475064916285,9.08108108108108,10,4880811.27693439,488.081127693439,0,239174203.379,True,731472784.6497314,74971.83691138281,0.0,0.0,0.0
8,2018 COE 90HH High TX,1,35.23328,-102.287,2030,2013,Special_Hybrid_H2,0.9,150,no,no,90,30,False,1185,9999,1000,1100,13.700527711349219,150,0,0,0,False,150000,150,2.2121335673805134,1.518151533316493,1.227734129896185,2.745885663212678,1423643.2332451434,4.692139390250184,223.24475064916285,9.08108108108108,10,4880572.642814379,488.05726428143794,0,239174203.379,True,707009702.9731576,70828.55644291268,0.0,0.0,0.0
9,ATB ADV High TX,1,35.23328,-102.287,2030,2013,Special_Hybrid_H2,0.9,150,no,no,135,30,False,940,9999,1000,1100,13.700527711349219,150,0,0,0,False,150000,150,2.259855328153568,1.5411475058285302,1.2542197071252301,2.79536721295376,1391875.3961493992,3.775727366451245,223.24475064916285,9.08108108108108,10,4785439.930991636,478.5439930991636,0,239174203.379,True,603128990.3116466,94098.2636344127,0.0,0.0,0.0
