,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Wind,-105210000.0,5267718.065421476,8603755.342697449,5248833.5312732365,3569275.1317044944,3425336.8349790163,2223356.8300292175,1020150.5089277234,871038.5439150333,1110558.4600303285,955541.4839264639,-9768729.266102131,-9929872.396012358,-10093957.85871122,-10261502.788803695,-10432132.807543036,-10641956.517114207,-10855126.595223665,-11036244.118759781,-11220976.50689098,-11409405.000497203,-11622546.939923052,-11839553.333307557,-12039577.224844344,-12243642.064251594,-12451839.27873189,-12664262.485202933,-12881007.544080779,-13102172.614398047,-13327858.2102904,-13558167.258885387
Solar,-9999000.0,2729072.07810915,644063.906647164,377320.8893531682,216955.52690384025,216133.19961747376,95688.65907098731,-24618.47187583682,-25170.49652479391,-25715.524976816363,-26292.244167102646,-26858.437840728293,-27456.78259846331,-28045.073006182436,-28665.996749096346,-29277.359747684262,-33304.09806110972,-37332.4037213042,-37990.91869190459,-38662.15381003315,-39346.38965211075,-42033.464459696064,-44734.12122674633,-45459.10991589718,-46198.28967886162,-46951.97595605084,-47720.49168052198,-48504.16746136057,-49303.34177160841,-50118.36114084957,-50949.58035257127
H2,-10208630.922059558,-3157524.5395198874,-6344891.316648774,-6420707.224377561,-6584189.225722473,-6747970.408518016,-6912089.031371135,-7076911.101704337,-10316982.944670048,-7333159.46503054,-7484764.170471385,-7638699.743216958,-7795328.219134912,-7954442.801969383,-8116399.575269274,-11788467.969932593,-8380536.197296668,-8553359.068016369,-8729104.392487109,-8907658.509570297,-9089312.18173999,-9419862.129971638,-13755789.219810031,-9869388.326495074,-10068166.056057714,-10270174.38954674,-10475549.95192073,-10684359.290088326,-10914559.019108143,-15713301.486689113,-23609871.995784074
