,0
Policy Option,option 1
Turbine Model,6MW
Useful Life,30
Wind Cost KW,1562.0000000000002
Solar Cost KW,9999
Electrolyzer Cost KW,1100
Debt Equity,60
ATB Year,2020
H2 PTC,0
Wind ITC,0
Discount Rate,0.07
NPV Wind Expenses,-2386856547.327663
NPV Solar Expenses,0.0
NPV H2 Expenses,-2506646624.118452
NPV Desal Expenses,4319344.223650421
NPV Pipeline Expenses,0.0
NPV HVDC Expenses,0.0
LCOH Wind HVDC,2.989402476773499
LCOH H2,3.139432755154579
LCOH Desal,-0.005409733707991168
LCOH Pipeline,-0.0
LCOH HVDC,-0.0
LCOH cf method HVDC,6.123425498220088
LCOH cf method Pipeline,6.123425498220088
