Run on a MSNT machine on 12/09/22 16:53:51.
Optimal solution found within time limit:,Yes

interval length (hours),         1.00
operating period length (hours),      8760.00
additional look-ahead (hours),         0.00
output capacity (MW),         0.00
input capacity (MW),      1000.00
storage capacity (MWh),       250.99
storage capacity (h),         0.41
input efficiency (%),         0.61
output efficiency (%),         1.00
input heat rate (MMBtu/MWh),         0.00
ouptut heat rate (MMBtu/MWh),         0.00
variable O&M cost,         0.00
regulation cost,         0.00
hydrogen use,         1.00

input
LSL limit fraction,         0.00
reg up limit fraction,         0.00
reg down limit fraction,         0.00
spining reserve limit fraction,         0.00
startup cost ($/MW-start), 0.0000000000
minimum run intervals,         0.00

output
LSL limit fraction,         0.00
reg up limit fraction,         0.00
reg down limit fraction,         0.00
spining reserve limit fraction,         0.00
startup cost ($/MW-start), 0.0000000000
minimum run intervals,         0.00

Int,Elec Purchase ($/MWh),Elec Sale ($/MWh),Reg Up ($/MW),Reg Dn ($/MW),Spin Res ($/MW),Nonspin Res ($/MW),Nat Gas ($/MMBTU),Product ($/product unit),Renewable In (MW),Load Profile (MW),Input Cap, Output Cap,Meter ($/mth)
        1.00,       64.53,       36.42,        0.00,        0.00,        0.00,        0.00,        1.00,        4.43,      414.45,        0.00,        1.00,        1.00,        0.00
        2.00,       64.53,       34.12,        0.00,        0.00,        0.00,        0.00,        1.00,        4.43,      441.06,        0.00,        1.00,        1.00,        0.00
        3.00,       64.53,       32.83,        0.00,        0.00,        0.00,        0.00,        1.00,        4.43,      295.89,        0.00,        1.00,        1.00,        0.00
        4.00,       64.53,       31.19,        0.00,        0.00,        0.00,        0.00,        1.00,        4.43,      388.34,        0.00,        1.00,        1.00,        0.00
        5.00,       64.53,       33.12,        0.00,        0.00,        0.00,        0.00,        1.00,        4.43,      363.53,        0.00,        1.00,        1.00,        0.00
        6.00,       64.53,       35.97,        0.00,        0.00,        0.00,        0.00,        1.00,        4.43,      300.33,        0.00,        1.00,        1.00,        0.00
        7.00,       64.53,       37.93,        0.00,        0.00,        0.00,        0.00,        1.00,        4.43,      250.90,        0.00,        1.00,        1.00,        0.00
        8.00,       64.53,       39.31,        0.00,        0.00,        0.00,        0.00,        1.00,        4.43,      268.43,        0.00,        1.00,        1.00,        0.00
        9.00,       64.53,       35.72,        0.00,        0.00,        0.00,        0.00,        1.00,        4.43,      227.72,        0.00,        1.00,        1.00,        0.00
       10.00,       64.53,       30.69,        0.00,        0.00,        0.00,        0.00,        1.00,        4.43,       86.45,        0.00,        1.00,        1.00,        0.00
