Project,Scenario,,Dollar_year,Weather_year,Start_day,r,state,gea,raz,country,tz,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_scenarios_2021,MidCase95by2035,,2020$,2012,Sunday,p124,VA,RFCEc,pjm_east,usa,ET,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Time,,Load,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Operational,Operational,Operational,Operational,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,MW,$/MW,MW,$/MW,MW,$/MW,unitless,unitless,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,Interval,busbar_load,busbar_load_for_enduse,enduse_load,storage_charging,net_load_busbar,battery_charging,phs_charging,trans_losses,imports,exports,distloss_rate_avg,distloss_rate_marg,spin_MW,spin_shadow_price,flex_MW,flex_shadow_price,reg_MW,reg_shadow_price,marg_gen_tech,marg_es_tech,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,generation,variable_generation,nuclear_MWh,coal_MWh,coal-ccs_MWh,o-g-s_MWh,gas-cc_MWh,gas-cc-ccs_MWh,gas-ct_MWh,hydro_MWh,geothermal_MWh,biomass_MWh,beccs_MWh,wind-ons_MWh,wind-ofs_MWh,csp_MWh,upv_MWh,distpv_MWh,phs_MWh,battery_MWh,canada_MWh
1/1/2022 0:00,1/1/2022 0:00,1,53.4,52.5,50.9,0,51.3,0,0,0.9,52.2,0,0.0314,0.0399,1.6,0,0.1,0,0.5,0,gas-cc,gas-cc,0,0,0,0,0,0,0,0,0,260.5,13,1.74,27,1114.5,0.19,261.3,58.2,319.5,398.6,33.8,4.81,23.2,1250.7,0.19,400.8,58.3,459.1,412.4,7.8,0.78,48.7,2156.5,0.18,412.8,109.1,522,29.37,0,0,29.37,30.59,0,0,30.59,1.3,1.3,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0
1/1/2022 1:00,1/1/2022 1:00,2,52.3,51.5,49.9,0,50.5,0,0,0.9,51.4,0,0.0313,0.0391,1.5,0,0.1,0,0.5,0,gas-cc,gas-cc,0,0,0,0,0,0,0,0,0,262.1,13.4,1.79,26.9,1112.1,0.19,262.9,58.1,321,397.1,33.5,4.77,23.3,1252.2,0.19,399.3,58.4,457.7,395,7.4,0.74,46.7,2065.7,0.17,395.4,104.6,500,28.59,0,0,28.59,29.75,0,0,29.75,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1/1/2022 2:00,1/1/2022 2:00,3,51.3,50.4,48.9,0,49.8,0,0,0.8,50.6,0,0.0311,0.0383,1.5,0,0.1,0,0.5,0,gas-cc,gas-cc,0,0,0,0,0,0,0,0,0,266.6,13.5,1.82,27.4,1132.7,0.2,267.4,59.2,326.6,423.3,38,5.44,22.8,1262,0.2,425.8,58.2,484,394.7,7.4,0.74,46.6,2064,0.17,395.1,104.5,499.6,28.59,0,0,28.59,29.72,0,0,29.72,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0
1/1/2022 3:00,1/1/2022 3:00,4,51.3,50.4,48.9,0,50,0,0,0.8,50.8,0,0.0311,0.0383,1.5,0,0,0,0.5,0,coal,coal,0,0,0,0,0,0,0,0,0,270.7,13.6,1.82,27.9,1154.4,0.2,271.6,60.3,331.9,414.8,36.9,5.27,22.6,1248.1,0.2,417.2,57.6,474.9,1108,127.6,18.56,34.1,2415.7,0.55,1116.5,101.9,1218.4,29.04,0,0,29.04,30.2,0,0,30.2,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
1/1/2022 4:00,1/1/2022 4:00,5,52.4,51.5,49.9,0,51.5,0,0,0.9,52.3,0,0.0313,0.0391,1.5,0,0,0,0.5,0,gas-cc,gas-cc,0,0,0,0,0,0,0,0,0,273.3,13.5,1.81,28.4,1172,0.2,274.2,61.3,335.4,419.3,37.4,5.35,22.8,1257.4,0.2,421.7,58,479.8,409,7.7,0.77,48.3,2138.6,0.18,409.4,108.2,517.6,29.15,0,0,29.15,30.34,0,0,30.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2022 5:00,1/1/2022 5:00,6,53.4,52.5,50.9,0,52.5,0,0,0.9,53.4,0,0.0314,0.0399,1.6,0,0,0,0.5,0,coal,coal,0,0,0,0,0,0,0,0,0,268.2,13.7,1.84,27.6,1137.4,0.2,269,59.5,328.6,411.1,35.9,5.12,23.1,1259.2,0.2,413.5,58.4,471.9,1203.1,138.5,20.15,37.1,2623,0.6,1212.3,110.7,1323,29.58,0,0,29.58,30.8,0,0,30.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2022 6:00,1/1/2022 6:00,7,54.5,53.6,51.9,0,53.6,0,0,0.9,54.5,0,0.0316,0.0407,1.6,0,0,0,0.5,0,coal,coal,0,0,0,0,0,0,0,0,0,262.8,13.4,1.81,27.1,1114.2,0.2,263.7,58.4,322.1,420.9,37.6,5.38,22.8,1261.1,0.2,423.4,58.2,481.6,995.2,114.6,16.67,30.7,2169.7,0.49,1002.8,91.5,1094.3,29.73,0,0,29.73,30.99,0,0,30.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2022 7:00,1/1/2022 7:00,8,55.2,54.6,52.9,0,35.5,0,0,0.6,36.1,0,0.0318,0.0415,1.6,0,4,0,0.8,0,coal,coal,0,0,0,0,0,0,0,0,0,170.7,8.6,1.15,17.7,728.4,0.13,171.2,38.1,209.3,356.9,30.7,4.37,20.5,1107,0.17,359,51.5,410.5,995.4,114.6,16.67,30.7,2170.2,0.49,1003,91.6,1094.6,29.62,0,0,29.62,30.9,0,0,30.9,19.1,19.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0.1,0,0,0
