,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,704305.0762925363,0.0,704305.0762925363,704305.0762925363,13439.784979174936
1,722297.1800676457,0.0,722297.1800676457,722297.1800676457,13752.459413810227
2,772844.5529468163,0.0,772844.5529468163,772844.5529468163,14625.559932480337
3,753055.5813483373,0.0,753055.5813483373,753055.5813483373,14284.647070678355
4,770275.5511095469,0.0,770275.5511095469,770275.5511095469,14581.32788609812
5,719787.7517980215,0.0,719787.7517980215,719787.7517980215,13708.823691255697
6,672737.3161812081,0.0,672737.3161812081,672737.3161812081,12888.535665709536
7,719153.3776406327,0.0,719153.3776406327,719153.3776406327,13697.769225285843
8,737237.755557816,0.0,737237.755557816,737237.755557816,14011.20053577918
9,604573.3935504889,0.0,604573.3935504889,604573.3935504889,11687.201096564242
10,419110.8638665286,0.0,419110.8638665286,419110.8638665286,8332.626341250898
11,434845.13396263466,0.0,434845.13396263466,434845.13396263466,8622.61981601768
12,387165.36697862577,0.0,387165.36697862577,387165.36697862577,7740.496272520755
13,187727.9763501914,0.0,187727.9763501914,187727.9763501914,3924.1202199606605
14,86004.94996947784,0.0,86004.94996947784,86004.94996947784,1832.4630569022531
15,83336.53024172355,0.0,83336.53024172355,83336.53024172355,1778.2375259155474
16,103260.00694344939,0.0,103260.00694344939,103260.00694344939,2130.7587816559817
17,133553.71167191846,0.0,133553.71167191846,133553.71167191846,2761.872554650928
18,164816.62215338775,0.0,164816.62215338775,164816.62215338775,3469.0402733747187
19,197026.0552486009,0.0,197026.0552486009,197026.0552486009,4107.431011782112
20,233563.69466514746,0.0,233563.69466514746,233563.69466514746,4822.238383060006
21,214377.8800146126,0.0,214377.8800146126,214377.8800146126,4448.0468765963005
22,192222.93750143118,0.0,192222.93750143118,192222.93750143118,4012.731862085755
23,169074.73573838355,0.0,169074.73573838355,169074.73573838355,3553.8942113330168
24,204596.50809302306,0.0,204596.50809302306,204596.50809302306,4256.279056758865
25,181448.21921163547,0.0,181448.21921163547,181448.21921163547,3799.676555539761
26,134525.67605511422,0.0,134525.67605511422,134525.67605511422,2860.4139082278034
27,122586.96847307523,0.0,122586.96847307523,122586.96847307523,2618.0205916965324
28,40431.12793460198,0.0,40431.12793460198,40431.12793460198,863.9088914076658
29,41826.82989445186,0.0,41826.82989445186,41826.82989445186,892.3241188178315
30,106711.07893123581,0.0,106711.07893123581,106711.07893123581,2046.8214268726454
31,100778.65655993769,0.0,100778.65655993769,100778.65655993769,2153.5277713526266
32,84515.8442513901,0.0,84515.8442513901,84515.8442513901,1802.0965816654812
33,84572.37522405543,0.0,84572.37522405543,84572.37522405543,1803.2424610886096
34,59888.60623083734,0.0,59888.60623083734,59888.60623083734,1280.358015198883
35,70777.15891440886,0.0,70777.15891440886,70777.15891440886,1501.1852439959744
36,63248.97927950561,0.0,63248.97927950561,63248.97927950561,1348.7788822460618
37,101564.89074532282,0.0,101564.89074532282,101564.89074532282,2024.8501353093413
38,156891.6935924315,0.0,156891.6935924315,156891.6935924315,3218.346381087086
39,240133.1894237652,0.0,240133.1894237652,240133.1894237652,4949.309054541261
40,320197.55818581284,0.0,320197.55818581284,320197.55818581284,6482.993781169673
41,544700.316309779,0.0,544700.316309779,544700.316309779,10617.262659325506
42,632773.7165652785,0.0,632773.7165652785,632773.7165652785,12184.472078961415
43,791376.2013979933,0.0,791376.2013979933,791376.2013979933,14941.618940997889
44,684265.7562212037,0.0,684265.7562212037,684265.7562212037,13088.355688880176
45,733715.3570818949,0.0,733715.3570818949,733715.3570818949,13948.324602843804
46,898720.2344581533,0.0,898720.2344581533,898720.2344581533,16764.77841578793
47,991981.5372480811,0.0,991981.5372480811,991981.5372480811,18323.157245691316
48,991421.7752655735,0.0,991421.7752655735,991421.7752655735,18313.84388364762
49,988805.6766471404,0.0,988805.6766471404,988805.6766471404,18270.40773429335
50,654705.9636107483,0.0,654705.9636107483,654705.9636107483,12570.40161217657
51,421622.4577701719,0.0,421622.4577701719,421622.4577701719,8377.798954236345
52,500043.43890273164,0.0,500043.43890273164,500043.43890273164,9811.570766024808
53,573980.4101077181,0.0,573980.4101077181,573980.4101077181,11141.150427157969
54,588083.522955015,0.0,588083.522955015,588083.522955015,11392.458095069464
55,542565.2817219277,0.0,542565.2817219277,542565.2817219277,10578.689530895266
56,650170.2167948373,0.0,650170.2167948373,650170.2167948373,12490.575839198262
57,512596.62243809167,0.0,512596.62243809167,512596.62243809167,10038.69601596663
58,307153.21725447255,0.0,307153.21725447255,307153.21725447255,6235.39607510476
59,109626.09494392363,0.0,109626.09494392363,109626.09494392363,2352.6921107129424
60,188135.29041646834,0.0,188135.29041646834,188135.29041646834,3931.489578723385
61,279716.6697203682,0.0,279716.6697203682,279716.6697203682,5711.968901327335
62,233982.3129931675,0.0,233982.3129931675,233982.3129931675,4829.707600407034
63,143619.39243472606,0.0,143619.39243472606,143619.39243472606,3043.62634332826
64,239013.6965362133,0.0,239013.6965362133,239013.6965362133,4927.388792181015
65,333674.6365598463,0.0,333674.6365598463,333674.6365598463,6737.405619505907
66,241409.10020413675,0.0,241409.10020413675,241409.10020413675,4973.82795183657
67,216956.52373250006,0.0,216956.52373250006,216956.52373250006,4497.830379779477
68,152664.43823210488,0.0,152664.43823210488,152664.43823210488,3225.4165014482605
