First Solar 430 kW PV Array,GE 1.5 MW Turbine
-0.00000011,1.06
-1.9,-4.8
-1.9,-4.7
-1.9,-4.9
-1.9,-5.3
-1.9,-4.7
-1.7,-4.9
15.8,-4.8
60.7,-4.9
110,-4.8
231,-5.2
299,-5.3
113,-5
53.7,-4.6
355,-4.6
189,-4.5
31.5,-4.5
0.0385,-4.6
-0.12,-4.8
15.4,-4.7
10.6,-5
-1.1,-4.9
-1.9,-4.8
-1.9,-4.6
-1.9,-4.8
-1.9,-4.9
-2,-4.8
-2,-5.3
-2,-5.1
-2,-5
-1.9,-4.8
11.6,-5.1
50,-5.2
155,-4.6
271,-5.2
325,-4.8
372,-5.1
393,-4.6
363,-4.6
366,-4.6
233,-4.6
148,-4.8
70.8,-4.8
46.9,-4.8
29.8,-4.5
0.165,-4.7
-1.8,-4.7
-1.8,-4.7
-1.8,-4.7
-1.9,-4.8
-1.9,-4.8
-1.9,-4.7
-1.9,-4.9
-1.9,-5.3
-1.7,-4.7
8.14,-5
63.7,-5.1
166,-4.8
255,-4.6
322,-4.7
264,-4.7
308,-4.5
319,-4.6
69.6,-4.7
304,-4.7
199,-4.5
84.9,-4.6
26.7,-4.7
21.3,-4.5
-1.5,-4.6
-1.8,-4.7
-1.8,-4.7
-1.8,-4.6
-1.8,-4.8
-1.9,-4.8
-1.9,-4.8
-1.9,-5.3
-1.9,-5
-1.7,-5
10.7,-5
62.4,-5.2
160,-4.8
251,-4.6
321,-4.7
318,-4.7
370,-4.6
244,-4.5
318,-4.6
233,-4.6
240,-4.5
191,-4.6
70.6,-4.5
8.35,-4.6
-0.84,-4.4
-1.8,-4.6
-1.8,-4.7
-1.8,-4.7
-1.8,-4.8
-1.9,-4.9
-1.9,-5
-1.9,-4.9
-1.9,-5
-1.6,-5.4
9.29,-4.8
62.4,-5.1
162,-5.2
254,-4.7
320,-4.4
360,-4.5
379,-4.6
291,-4.5
42,-4.6
118,-4.6
74.4,-4.7
49.6,-4.7
42.9,-4.7
21.2,-4.6
0.914,-4.5
-1.7,-4.7
-1.8,-4.8
-1.8,-4.8
-1.8,-4.7
-1.9,-4.9
-1.9,-4.9
-1.9,-4.6
-1.9,-4.8
-1.6,-4.8
10.2,-4.7
42.8,-4.9
167,-4.8
258,-4.8
324,-4.6
370,-4.8
360,-4.7
338,-4.6
386,-4.6
254,-4.6
107,-4.7
112,-4.6
31.2,-4.7
-1.8,-4.7
-2.5,-4.6
-1.8,-4.3
-1.8,-4.5
-1.8,-4.5
-1.8,-4.4
-1.9,-4.5
-1.9,-4.6
-1.9,-4.7
-1.9,-4.6
-1.9,-5
6.62,-4.7
61.6,-4.7
163,-4.9
257,-4.8
330,-4.7
369,24.8
380,62.1
376,63
357,12.4
312,30.4
243,-8
157,-6.7
64.4,-6.7
10.6,-6.8
-1.8,-7
-1.8,-7.1
-1.8,-7.1
-1.8,-7.1
-1.8,-7.2
-1.8,-7.1
-1.9,-7.2
-1.9,-7.2
-1.9,-7.2
-1.9,-7.5
7.78,-7.2
25.2,-7.2
99.6,-7
254,-6.9
325,-6.7
350,-6.6
355,-6.7
279,-6.7
213,-6.6
179,-6.6
109,-6.7
103,-6.7
32.4,-6.9
3.76,-7
-2.2,-6.9
-1.7,-6.9
-1.8,-7
-1.8,-7
-1.8,-7
-1.8,-7.1
-1.8,-7.2
-1.8,-7.2
-1.8,-7.2
-1.8,-7.2
16.1,-7.2
75.9,-7.1
163,-6.9
258,-7
304,-7
356,-6.9
374,-6.8
363,-6.8
286,-6.8
69.7,-6.9
124,-7
62.3,-7.1
38.9,-7.1
10,-7.1
-0.77,-7.2
-1.8,-7.5
-1.8,-7.5
-1.8,-7.4
-1.8,-7.5
-1.8,-7.8
-1.9,-7.9
-1.9,-8
-1.9,-8
-1.8,-8
11.3,-7.6
60.7,-7.8
158,-7.6
249,-7.4
319,-7.1
359,-7.2
383,-7.1
379,-7.1
353,-7
298,-7
234,-7.1
146,-7.1
61.8,-7.1
15.5,-7.2
-1.3,-7.4
-1.8,-7.5
-1.8,-7.6
-1.8,-7.7
-1.9,-7.7
-1.9,-7.8
-1.9,-7.9
-2,-8
-2,-8.1
-1.9,-8.2
13,-7.8
57.2,-8
138,-7.7
235,-8.1
307,-7.8
356,-7.5
377,-7.2
378,-7.2
345,-7.3
295,-7.2
214,-7.1
131,-7
57.1,-7
19.8,-7.1
-1.5,-7.3
-1.8,-7.5
-1.9,-7.7
-1.8,-7.6
-1.9,-7.6
-1.9,-7.7
-1.9,-7.8
-1.9,-7.8
-1.9,-8.2
-1.9,-8
8.39,-7.6
45.5,-7.5
97.5,-7.8
168,-7.7
231,-7.3
292,-7.1
337,-6.9
333,-7
321,-7
275,-7
209,-7
132,-6.9
31.3,-6.9
18.6,-6.8
-0.87,-7.1
-1.8,-7.4
-1.8,-7.4
-1.8,-7.5
-1.8,-7.5
-1.8,-7.6
-1.8,-7.7
-1.9,-7.8
-1.9,-7.6
-1.8,-7.9
11.7,-7.3
35.5,-7.2
2.95,-7.9
0.00000242,-7.5
-0.0000019,-5.2
-0.000005,-5.2
-0.0000053,-5.2
-0.00001,-5
0.0000156,-4.6
0.0000212,-4.6
-0.000014,-4.8
-0.0000068,-4.6
0.00000187,-4.6
0.00000587,-4.5
-0.00000031,-4.9
0.00000196,-4.9
-0.00000098,-4.9
0.00000358,-5.1
-0.0000052,-5.3
0.00000117,-5.1
0.0000111,-5.2
0.00000852,-5.1
