input_size_instances,input_sizes,H2comp_cap_cost_s
s1,0.02,0
s2,0.1,0
s3,0.2,0
s4,0.4,0
s5,0.6,0
s6,1,0
s7,1.2,0
s8,1.4,0
s9,1.6,0
s10,1.8,0
s11,2,0
s12,2.4,0
s13,4,0
s14,6,0
s15,10,0
s16,12,0
s17,18,0
s18,20,0
s19,24,0
s20,40,0
s21,100,0
s22,200,0
