Run on a MSNT machine on 12/07/22 10:43:48.
Optimal solution found within time limit:,Yes

interval length (hours),         1.00
operating period length (hours),      8760.00
additional look-ahead (hours),         0.00
output capacity (MW),         0.00
input capacity (MW),      1000.00
storage capacity (MWh),    214725.51
storage capacity (h),       296.58
input efficiency (%),         0.72
output efficiency (%),         1.00
input heat rate (MMBtu/MWh),         0.00
ouptut heat rate (MMBtu/MWh),         0.00
variable O&M cost,         0.00
regulation cost,         0.00
hydrogen use,         1.00

input
LSL limit fraction,         0.00
reg up limit fraction,         0.00
reg down limit fraction,         0.00
spining reserve limit fraction,         0.00
startup cost ($/MW-start), 0.0000000000
minimum run intervals,         0.00

output
LSL limit fraction,         0.00
reg up limit fraction,         0.00
reg down limit fraction,         0.00
spining reserve limit fraction,         0.00
startup cost ($/MW-start), 0.0000000000
minimum run intervals,         0.00

Int,Elec Purchase ($/MWh),Elec Sale ($/MWh),Reg Up ($/MW),Reg Dn ($/MW),Spin Res ($/MW),Nonspin Res ($/MW),Nat Gas ($/MMBTU),Product ($/product unit),Renewable In (MW),Load Profile (MW),Input Cap, Output Cap,Meter ($/mth)
        1.00,       86.11,       36.42,        0.00,        0.00,        0.00,        0.00,        1.00,        2.01,      810.22,        0.00,        1.00,        1.00,        0.00
        2.00,       86.11,       34.12,        0.00,        0.00,        0.00,        0.00,        1.00,        2.01,      810.22,        0.00,        1.00,        1.00,        0.00
        3.00,       86.11,       32.83,        0.00,        0.00,        0.00,        0.00,        1.00,        2.01,      810.22,        0.00,        1.00,        1.00,        0.00
        4.00,       86.11,       31.19,        0.00,        0.00,        0.00,        0.00,        1.00,        2.01,      707.76,        0.00,        1.00,        1.00,        0.00
        5.00,       86.11,       33.12,        0.00,        0.00,        0.00,        0.00,        1.00,        2.01,      518.89,        0.00,        1.00,        1.00,        0.00
        6.00,       86.11,       35.97,        0.00,        0.00,        0.00,        0.00,        1.00,        2.01,      644.49,        0.00,        1.00,        1.00,        0.00
        7.00,       86.11,       37.93,        0.00,        0.00,        0.00,        0.00,        1.00,        2.01,      810.22,        0.00,        1.00,        1.00,        0.00
        8.00,       86.11,       39.31,        0.00,        0.00,        0.00,        0.00,        1.00,        2.01,      810.22,        0.00,        1.00,        1.00,        0.00
        9.00,       86.11,       35.72,        0.00,        0.00,        0.00,        0.00,        1.00,        2.01,      810.22,        0.00,        1.00,        1.00,        0.00
       10.00,       86.11,       30.69,        0.00,        0.00,        0.00,        0.00,        1.00,        2.01,      754.29,        0.00,        1.00,        1.00,        0.00
       11.00,       86.11,       28.08,        0.00,        0.00,        0.00,        0.00,        1.00,        2.01,      523.50,        0.00,        1.00,        1.00,        0.00
       12.00,       86.11,       26.55,        0.00,        0.00,        0.00,        0.00,        1.00,        2.01,      550.31,        0.00,        1.00,        1.00,        0.00
       13.00,       86.11,       25.05,        0.00,        0.00,        0.00,        0.00,        1.00,        2.01,      420.41,        0.00,        1.00,        1.00,        0.00
       14.00,       86.11,       24.52,        0.00,        0.00,        0.00,        0.00,        1.00,        2.01,      289.02,        0.00,        1.00,        1.00,        0.00
       15.00,       86.11,       26.00,        0.00,        0.00,        0.00,        0.00,        1.00,        2.01,      572.50,        0.00,        1.00,        1.00,        0.00
       16.00,       86.11,       31.26,        0.00,        0.00,        0.00,        0.00,        1.00,        2.01,      520.69,        0.00,        1.00,        1.00,        0.00
       17.00,       86.11,       45.37,        0.00,        0.00,        0.00,        0.00,        1.00,        2.01,      297.82,        0.00,        1.00,        1.00,        0.00
       18.00,       86.11,       50.93,        0.00,        0.00,        0.00,        0.00,        1.00,        2.01,      305.52,        0.00,        1.00,        1.00,        0.00
       19.00,       86.11,       59.46,        0.00,        0.00,        0.00,        0.00,        1.00,        2.01,      314.00,        0.00,        1.00,        1.00,        0.00
       20.00,       86.11,       52.32,        0.00,        0.00,        0.00,        0.00,        1.00,        2.01,      373.57,        0.00,        1.00,        1.00,        0.00
       21.00,       86.11,       52.78,        0.00,        0.00,        0.00,        0.00,        1.00,        2.01,      349.11,        0.00,        1.00,        1.00,        0.00
