Run on a MSNT machine on 12/07/22 10:42:24.
Optimal solution found within time limit:,Yes

interval length (hours),         1.00
operating period length (hours),      8760.00
additional look-ahead (hours),         0.00
output capacity (MW),         0.00
input capacity (MW),      1000.00
storage capacity (MWh),    119465.47
storage capacity (h),       197.27
input efficiency (%),         0.61
output efficiency (%),         1.00
input heat rate (MMBtu/MWh),         0.00
ouptut heat rate (MMBtu/MWh),         0.00
variable O&M cost,         0.00
regulation cost,         0.00
hydrogen use,         1.00

input
LSL limit fraction,         0.00
reg up limit fraction,         0.00
reg down limit fraction,         0.00
spining reserve limit fraction,         0.00
startup cost ($/MW-start), 0.0000000000
minimum run intervals,         0.00

output
LSL limit fraction,         0.00
reg up limit fraction,         0.00
reg down limit fraction,         0.00
spining reserve limit fraction,         0.00
startup cost ($/MW-start), 0.0000000000
minimum run intervals,         0.00

Int,Elec Purchase ($/MWh),Elec Sale ($/MWh),Reg Up ($/MW),Reg Dn ($/MW),Spin Res ($/MW),Nonspin Res ($/MW),Nat Gas ($/MMBTU),Product ($/product unit),Renewable In (MW),Load Profile (MW),Input Cap, Output Cap,Meter ($/mth)
        1.00,       77.71,       36.42,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      568.41,        0.00,        1.00,        1.00,        0.00
        2.00,       77.71,       34.12,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      589.40,        0.00,        1.00,        1.00,        0.00
        3.00,       77.71,       32.83,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      662.41,        0.00,        1.00,        1.00,        0.00
        4.00,       77.71,       31.19,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      649.42,        0.00,        1.00,        1.00,        0.00
        5.00,       77.71,       33.12,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      664.13,        0.00,        1.00,        1.00,        0.00
        6.00,       77.71,       35.97,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      633.45,        0.00,        1.00,        1.00,        0.00
        7.00,       77.71,       37.93,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      615.22,        0.00,        1.00,        1.00,        0.00
        8.00,       77.71,       39.31,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      647.03,        0.00,        1.00,        1.00,        0.00
        9.00,       77.71,       35.72,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      651.75,        0.00,        1.00,        1.00,        0.00
       10.00,       77.71,       30.69,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      584.78,        0.00,        1.00,        1.00,        0.00
       11.00,       77.71,       28.08,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      426.64,        0.00,        1.00,        1.00,        0.00
       12.00,       77.71,       26.55,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      373.07,        0.00,        1.00,        1.00,        0.00
       13.00,       77.71,       25.05,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      314.57,        0.00,        1.00,        1.00,        0.00
       14.00,       77.71,       24.52,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      220.89,        0.00,        1.00,        1.00,        0.00
       15.00,       77.71,       26.00,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      138.58,        0.00,        1.00,        1.00,        0.00
       16.00,       77.71,       31.26,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,       99.11,        0.00,        1.00,        1.00,        0.00
       17.00,       77.71,       45.37,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,       84.36,        0.00,        1.00,        1.00,        0.00
       18.00,       77.71,       50.93,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      108.12,        0.00,        1.00,        1.00,        0.00
       19.00,       77.71,       59.46,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      134.02,        0.00,        1.00,        1.00,        0.00
       20.00,       77.71,       52.32,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      168.45,        0.00,        1.00,        1.00,        0.00
       21.00,       77.71,       52.78,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      199.09,        0.00,        1.00,        1.00,        0.00
       22.00,       77.71,       48.01,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      220.74,        0.00,        1.00,        1.00,        0.00
       23.00,       77.71,       45.68,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      194.47,        0.00,        1.00,        1.00,        0.00
       24.00,       77.71,       37.83,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      168.85,        0.00,        1.00,        1.00,        0.00
       25.00,       77.71,       36.81,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      198.56,        0.00,        1.00,        1.00,        0.00
       26.00,       77.71,       34.16,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      157.19,        0.00,        1.00,        1.00,        0.00
       27.00,       77.71,       34.12,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      102.46,        0.00,        1.00,        1.00,        0.00
       28.00,       77.71,       32.49,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,       93.85,        0.00,        1.00,        1.00,        0.00
       29.00,       77.71,       34.71,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,       70.17,        0.00,        1.00,        1.00,        0.00
       30.00,       77.71,       42.78,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,       63.16,        0.00,        1.00,        1.00,        0.00
       31.00,       77.71,       38.60,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,       82.10,        0.00,        1.00,        1.00,        0.00
       32.00,       77.71,       41.42,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,       86.43,        0.00,        1.00,        1.00,        0.00
       33.00,       77.71,       37.44,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,       70.61,        0.00,        1.00,        1.00,        0.00
       34.00,       77.71,       32.59,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,       71.02,        0.00,        1.00,        1.00,        0.00
       35.00,       77.71,       31.04,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,       47.36,        0.00,        1.00,        1.00,        0.00
       36.00,       77.71,       28.42,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,       59.35,        0.00,        1.00,        1.00,        0.00
       37.00,       77.71,       27.21,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,       63.07,        0.00,        1.00,        1.00,        0.00
       38.00,       77.71,       26.13,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      106.86,        0.00,        1.00,        1.00,        0.00
       39.00,       77.71,       27.60,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      132.29,        0.00,        1.00,        1.00,        0.00
       40.00,       77.71,       31.54,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      203.45,        0.00,        1.00,        1.00,        0.00
       41.00,       77.71,       45.82,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      272.50,        0.00,        1.00,        1.00,        0.00
       42.00,       77.71,       53.79,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      446.74,        0.00,        1.00,        1.00,        0.00
       43.00,       77.71,       53.45,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      530.15,        0.00,        1.00,        1.00,        0.00
       44.00,       77.71,       48.03,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      698.23,        0.00,        1.00,        1.00,        0.00
       45.00,       77.71,       45.73,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      659.22,        0.00,        1.00,        1.00,        0.00
       46.00,       77.71,       43.08,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      702.83,        0.00,        1.00,        1.00,        0.00
       47.00,       77.71,       45.85,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      810.22,        0.00,        1.00,        1.00,        0.00
       48.00,       77.71,       36.54,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      810.22,        0.00,        1.00,        1.00,        0.00
       49.00,       77.71,       34.39,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      810.22,        0.00,        1.00,        1.00,        0.00
       50.00,       77.71,       32.04,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      810.22,        0.00,        1.00,        1.00,        0.00
       51.00,       77.71,       31.70,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      810.22,        0.00,        1.00,        1.00,        0.00
       52.00,       77.71,       30.91,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      766.20,        0.00,        1.00,        1.00,        0.00
       53.00,       77.71,       31.82,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      596.17,        0.00,        1.00,        1.00,        0.00
       54.00,       77.71,       35.17,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      516.74,        0.00,        1.00,        1.00,        0.00
       55.00,       77.71,       32.34,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      574.06,        0.00,        1.00,        1.00,        0.00
       56.00,       77.71,       32.97,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      590.45,        0.00,        1.00,        1.00,        0.00
       57.00,       77.71,       32.90,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      639.87,        0.00,        1.00,        1.00,        0.00
       58.00,       77.71,       30.01,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      415.59,        0.00,        1.00,        1.00,        0.00
       59.00,       77.71,       28.69,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      265.58,        0.00,        1.00,        1.00,        0.00
       60.00,       77.71,       27.84,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      325.77,        0.00,        1.00,        1.00,        0.00
       61.00,       77.71,       26.89,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      358.56,        0.00,        1.00,        1.00,        0.00
       62.00,       77.71,       24.77,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      381.51,        0.00,        1.00,        1.00,        0.00
       63.00,       77.71,       26.21,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      345.55,        0.00,        1.00,        1.00,        0.00
       64.00,       77.71,       29.52,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      448.25,        0.00,        1.00,        1.00,        0.00
       65.00,       77.71,       42.73,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      475.63,        0.00,        1.00,        1.00,        0.00
       66.00,       77.71,       51.69,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      645.98,        0.00,        1.00,        1.00,        0.00
       67.00,       77.71,       52.70,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      771.39,        0.00,        1.00,        1.00,        0.00
       68.00,       77.71,       47.72,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      722.59,        0.00,        1.00,        1.00,        0.00
       69.00,       77.71,       48.13,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      538.57,        0.00,        1.00,        1.00,        0.00
       70.00,       77.71,       43.04,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      513.00,        0.00,        1.00,        1.00,        0.00
       71.00,       77.71,       39.93,        0.00,        0.00,        0.00,        0.00,        1.00,        8.64,      474.03,        0.00,        1.00,        1.00,        0.00
