Run on a MSNT machine on 12/07/22 10:44:30.
Optimal solution found within time limit:,Yes

Renewable Capacity (MW),      1000.00
Renewable Penetration for Input (%),         1.00
hydrogen use,         1.00

NPV of actual operating profit, 160588382.73
total electricity input (MWh),   2439988.82
total electricity output (MWh),         0.00
output to input ratio,         0.00
input capacity factor,         0.28
output capacity factor,         0.00
average regup (MW),         0.00
average regdn (MW),         0.00
average spinres (MW),         0.00
average nonspinres (MW),         0.00
number of input power system starts,      8760.00
number of output power system starts,      8760.00
arbitrage revenue ($),        0.00
regup revenue ($),         0.00
regdn revenue ($),         0.00
spinres revenue ($),         0.00
nonspinres revenue ($),         0.00
hydrogen revenue ($), 285683950.75
REC revenue ($),         0.00
LCFS revenue ($),         0.00
startup costs ($),         0.00

Interval,Input Power (MW),Output Power (MW),Storage Level (MW-h),Input Reg Up (MW),Output Reg Up (MW),Input Reg Dn (MW),Output Reg Dn (MW),Input Spin (MW),Output Spin (MW),Input Nonspin (MW),Output Nonspin (MW),Product Sold (units of product),Non-Ren Import (MW),Load Profile (MW),Renewable Input (MW),Renewables Sold (MW),Curtailment (MW)
        1.00,      414.45,        0.00,    60017.11,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      414.45,        0.00,        0.00
        2.00,        0.00,        0.00,    59815.41,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      441.06,        0.00,      441.06
        3.00,      295.89,        0.00,    59827.94,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      295.89,        0.00,        0.00
        4.00,      388.34,        0.00,    59907.41,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      388.34,        0.00,        0.00
        5.00,      363.53,        0.00,    59968.91,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      363.53,        0.00,        0.00
        6.00,      300.33,        0.00,    59984.65,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      300.33,        0.00,        0.00
        7.00,      250.90,        0.00,    59964.61,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      250.90,        0.00,        0.00
        8.00,      268.43,        0.00,    59957.26,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      268.43,        0.00,        0.00
        9.00,      227.72,        0.00,    59920.43,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      227.72,        0.00,        0.00
       10.00,       86.45,        0.00,    59781.33,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,       86.45,        0.00,        0.00
       11.00,       53.31,        0.00,    59618.23,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,       53.31,        0.00,        0.00
       12.00,       31.02,        0.00,    59438.99,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,       31.02,        0.00,        0.00
       13.00,        4.98,        0.00,    59240.90,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,        4.98,        0.00,        0.00
       14.00,        0.00,        0.00,    59039.21,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,        0.00,        0.00,        0.00
       15.00,        0.00,        0.00,    58837.51,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,        0.00,        0.00,        0.00
       16.00,        2.71,        0.00,    58637.78,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,        2.71,        0.00,        0.00
       17.00,       32.28,        0.00,    58459.45,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,       32.28,        0.00,        0.00
       18.00,       59.51,        0.00,    58300.84,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,       59.51,        0.00,        0.00
       19.00,       84.73,        0.00,    58160.49,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,       84.73,        0.00,        0.00
       20.00,        0.00,        0.00,    57958.80,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      226.96,        0.00,      226.96
       21.00,      183.25,        0.00,    57889.77,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      183.25,        0.00,        0.00
       22.00,      261.21,        0.00,    57877.19,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      261.21,        0.00,        0.00
       23.00,      185.26,        0.00,    57809.63,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      185.26,        0.00,        0.00
       24.00,      337.57,        0.00,    57852.33,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      337.57,        0.00,        0.00
       25.00,        0.00,        0.00,    57650.64,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      425.95,        0.00,      425.95
       26.00,      440.78,        0.00,    57768.07,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      440.78,        0.00,        0.00
       27.00,      461.85,        0.00,    57900.75,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      461.85,        0.00,        0.00
       28.00,        0.00,        0.00,    57699.06,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      544.71,        0.00,      544.71
       29.00,      612.25,        0.00,    57940.63,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      612.25,        0.00,        0.00
       30.00,      700.67,        0.00,    58246.22,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      700.67,        0.00,        0.00
       31.00,      758.53,        0.00,    58593.70,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      758.53,        0.00,        0.00
       32.00,      810.22,        0.00,    58978.61,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      810.22,        0.00,        0.00
       33.00,      810.22,        0.00,    59363.52,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      810.22,        0.00,        0.00
       34.00,        0.00,        0.00,    59161.82,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      471.86,        0.00,      471.86
       35.00,      201.95,        0.00,    59106.34,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      201.95,        0.00,        0.00
       36.00,      182.55,        0.00,    59036.81,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      182.55,        0.00,        0.00
       37.00,        0.00,        0.00,    58835.11,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      159.07,        0.00,      159.07
       38.00,      152.21,        0.00,    58743.61,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      152.21,        0.00,        0.00
       39.00,      180.92,        0.00,    58672.90,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      180.92,        0.00,        0.00
       40.00,        0.00,        0.00,    58471.21,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      197.76,        0.00,      197.76
       41.00,      266.64,        0.00,    58462.56,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      266.64,        0.00,        0.00
       42.00,      407.10,        0.00,    58555.60,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      407.10,        0.00,        0.00
       43.00,        0.00,        0.00,    58353.91,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      527.54,        0.00,      527.54
       44.00,      681.58,        0.00,    58645.68,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      681.58,        0.00,        0.00
       45.00,      537.15,        0.00,    58832.88,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      537.15,        0.00,        0.00
       46.00,      468.42,        0.00,    58970.32,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      468.42,        0.00,        0.00
       47.00,        0.00,        0.00,    58768.62,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      526.21,        0.00,      526.21
       48.00,      659.53,        0.00,    59044.43,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      659.53,        0.00,        0.00
       49.00,      675.50,        0.00,    59331.80,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      675.50,        0.00,        0.00
       50.00,      766.89,        0.00,    59685.33,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      766.89,        0.00,        0.00
       51.00,        0.00,        0.00,    59483.63,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      773.54,        0.00,      773.54
       52.00,      810.22,        0.00,    59868.54,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      810.22,        0.00,        0.00
       53.00,      810.22,        0.00,    60253.44,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      810.22,        0.00,        0.00
       54.00,      810.22,        0.00,    60638.35,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      810.22,        0.00,        0.00
       55.00,      810.22,        0.00,    61023.26,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      810.22,        0.00,        0.00
       56.00,      810.22,        0.00,    61408.16,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      810.22,        0.00,        0.00
       57.00,        0.00,        0.00,    61206.47,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      810.22,        0.00,      810.22
       58.00,      488.20,        0.00,    61358.22,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      488.20,        0.00,        0.00
       59.00,        0.00,        0.00,    61156.53,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      324.94,        0.00,      324.94
       60.00,      295.11,        0.00,    61168.50,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      295.11,        0.00,        0.00
       61.00,        0.00,        0.00,    60966.80,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      242.94,        0.00,      242.94
       62.00,      220.71,        0.00,    60924.90,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      220.71,        0.00,        0.00
       63.00,      222.51,        0.00,    60884.30,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      222.51,        0.00,        0.00
       64.00,        0.00,        0.00,    60682.60,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      235.93,        0.00,      235.93
       65.00,      223.63,        0.00,    60642.81,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      223.63,        0.00,        0.00
       66.00,      602.98,        0.00,    60877.68,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      602.98,        0.00,        0.00
       67.00,      478.18,        0.00,    61022.18,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      478.18,        0.00,        0.00
       68.00,        0.00,        0.00,    60820.49,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      720.47,        0.00,      720.47
       69.00,      798.47,        0.00,    61196.89,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      798.47,        0.00,        0.00
       70.00,        0.00,        0.00,    60995.19,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      474.75,        0.00,      474.75
       71.00,      664.15,        0.00,    61274.34,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      664.15,        0.00,        0.00
       72.00,        0.00,        0.00,    61072.65,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      602.65,        0.00,      602.65
       73.00,      761.09,        0.00,    61421.98,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      761.09,        0.00,        0.00
       74.00,      810.22,        0.00,    61806.89,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      810.22,        0.00,        0.00
       75.00,        0.00,        0.00,    61605.19,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      810.22,        0.00,      810.22
       76.00,      810.22,        0.00,    61990.10,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      810.22,        0.00,        0.00
       77.00,      810.22,        0.00,    62375.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      810.22,        0.00,        0.00
       78.00,        0.00,        0.00,    62173.31,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      810.22,        0.00,      810.22
       79.00,      810.22,        0.00,    62558.22,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      810.22,        0.00,        0.00
       80.00,      810.22,        0.00,    62943.12,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      810.22,        0.00,        0.00
       81.00,        0.00,        0.00,    62741.43,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      810.22,        0.00,      810.22
       82.00,      810.22,        0.00,    63126.33,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      810.22,        0.00,        0.00
       83.00,        0.00,        0.00,    62924.64,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      529.59,        0.00,      529.59
       84.00,      333.58,        0.00,    62964.45,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      333.58,        0.00,        0.00
       85.00,        0.00,        0.00,    62762.76,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      334.97,        0.00,      334.97
       86.00,      303.09,        0.00,    62780.50,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      303.09,        0.00,        0.00
       87.00,        0.00,        0.00,    62578.81,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      306.30,        0.00,      306.30
       88.00,      259.61,        0.00,    62565.07,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      259.61,        0.00,        0.00
       89.00,        0.00,        0.00,    62363.37,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      364.85,        0.00,      364.85
       90.00,      810.22,        0.00,    62748.28,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6052.88,        0.00,        0.00,      810.22,        0.00,        0.00
