UID,fbus,tbus,r,x,b,rateA,rateB,rateC,ratio,angle,status,angmin,angmax,Pf,Qf,Pt,Qt,mu_Sf,mu_St,mu_angmin,mu_angmax,branch_device_type
1,1001,1064,0.00524,0.0358,0.00609,221,0,0,0,0,1,0,0,67.57,4.5,-67.33,-3.46,0,0,0,0,Line
2,1001,1064,0.00524,0.0358,0.00609,221,0,0,0,0,1,0,0,67.57,4.5,-67.33,-3.46,0,0,0,0,Line
3,1001,1071,0.00435,0.02808,0.00536,221,0,0,0,0,1,0,0,-77.96,-7.45,78.23,8.64,0,0,0,0,Line
4,1001,1071,0.00435,0.02808,0.00536,221,0,0,0,0,1,0,0,-77.96,-7.45,78.23,8.64,0,0,0,0,Line
5,1002,1007,0.07776,0.46693,0.06336,98,0,0,0,0,1,0,0,1.12,-5.05,-1.12,-1.61,0,0,0,0,Line
6,1010,1002,0.05552,0.1357,0.01777,98,0,0,0,0,1,0,0,16.68,-2.2,-16.53,0.68,0,0,0,0,Line
7,1004,1003,0.0045,0.11582,0,250,0,0,1,0,1,0,0,-28.13,6.79,28.16,-5.85,0,0,0,0,Transformer
8,1022,1003,0.00485,0.02012,0.00341,221,0,0,0,0,1,0,0,74.87,-4.97,-74.6,5.71,0,0,0,0,Line
9,1055,1003,0.01574,0.03782,0.00513,196,0,0,0,0,1,0,0,-46.11,0.13,46.44,0.14,0,0,0,0,Line
10,1004,3133,0.0042,0.03,0.055,523,0,0,0,0,1,0,0,186.38,-37.17,-184.93,41.78,0,0,0,0,Line
11,1006,1005,0.00602,0.14707,0,42,0,0,1,0,1,0,0,25.73,-4.94,-25.69,5.94,0,0,0,0,Transformer
12,1025,1005,0.01842,0.0821,0.01204,149,0,0,0,0,1,0,0,42.04,5.43,-41.73,-5.26,0,0,0,0,Line
13,1005,1061,0.00599,0.02484,0.00422,221,0,0,0,0,1,0,0,75.86,-24.04,-75.49,25.14,0,0,0,0,Line
14,1067,1005,0.01711,0.04181,0.00548,274.4,0,0,0,0,1,0,0,8.54,-23.66,-8.44,23.36,0,0,0,0,Line
15,1007,1015,0.06224,0.37375,0.05072,98,0,0,0,0,1,0,0,-1.23,-3.02,1.23,-2.37,0,0,0,0,Line
16,1031,1007,0.04803,0.27434,0.04123,98,0,0,0,0,1,0,0,4.67,-6.06,-4.66,1.82,0,0,0,0,Line
17,1009,1008,0.00455,0.09471,0,120,0,0,1,0,1,0,0,61.87,-11.88,-61.7,15.52,0,0,0,0,Transformer
18,1008,1032,0.04501,0.11002,0.01441,98,0,0,0,0,1,0,0,57.28,-7.11,-55.86,9.08,0,0,0,0,Line
19,1008,1069,0.0083,0.03628,0.00553,149,0,0,0,0,1,0,0,4.42,-8.41,-4.41,7.86,0,0,0,0,Line
20,1011,1010,0.00721,0.3246,0,46,0,0,1,0,1,0,0,9.99,0,-9.98,0.3,0,0,0,0,Transformer
21,1010,1015,0.04703,0.28243,0.03833,98,0,0,0,0,1,0,0,8.78,-4.1,-8.74,0.24,0,0,0,0,Line
22,1010,1030,0.0616,0.3699,0.0502,98,0,0,0,0,1,0,0,-15.48,2.46,15.64,-6.82,0,0,0,0,Line
23,1012,1087,0.04934,0.20469,0.03473,149,0,0,0,0,1,0,0,-76.33,23.14,79.33,-14.38,0,0,0,0,Line
24,3051,1012,0.0571,0.24977,0.03804,149,0,0,0,0,1,0,0,-70.39,20.86,73.34,-12,0,0,0,0,Line
25,1013,1031,0.04509,0.27078,0.03675,98,0,0,0,0,1,0,0,14.02,-6.68,-13.92,3.45,0,0,0,0,Line
26,1047,1013,0.00947,0.06117,0.01167,221,0,0,0,0,1,0,0,58.63,-12.77,-58.3,13.71,0,0,0,0,Line
27,1086,1013,0.079,0.19311,0.02529,98,0,0,0,0,1,0,0,-14.73,13.47,15.06,-15.32,0,0,0,0,Line
28,1014,1047,0.03566,0.14794,0.0251,149,0,0,0,0,1,0,0,17.07,1.15,-16.97,-3.32,0,0,0,0,Line
29,1014,1083,0.04105,0.18293,0.02682,149,0,0,0,0,1,0,0,-19.29,-1.78,19.44,-0.39,0,0,0,0,Line
30,1016,1034,0.01828,0.10976,0.01489,98,0,0,0,0,1,0,0,-16.71,20.86,16.84,-21.64,0,0,0,0,Line
