,bus_i,Latitude,Longitude
0,1001,31.906736,-102.262348
1,1002,29.888046,-104.519139
2,1003,32.926389,-101.647778
3,1004,32.926389,-101.647778
4,1005,32.2075,-101.388333
5,1006,32.2075,-101.388333
6,1007,31.09348,-104.624514
7,1008,30.931467,-102.201433
8,1009,30.931467,-102.201433
9,1010,29.6,-104.3
10,1011,29.6,-104.3
11,1012,30.028067,-101.970461
12,1013,31.484586,-103.161046
13,1014,31.169523,-103.085134
14,1015,30.285296,-104.005761
15,1016,31.763075,-101.501775
16,1017,31.725171,-102.413607
17,1018,31.799171,-102.632933
18,1019,31.979427,-102.132366
19,1020,31.9925,-101.1167
20,1021,31.9925,-101.1167
21,1022,32.929014,-101.578617
22,1023,32.929014,-101.578617
23,1024,31.969312,-102.630882
24,1025,32.039,-101.22
25,1026,32.039,-101.22
26,1027,32.321673,-102.042298
27,1028,32.879511,-101.246784
28,1029,31.992384,-102.081464
29,1030,29.802094,-103.22236
30,1031,31.004969,-103.759065
31,1032,31.2092,-102.2417
32,1033,31.2092,-102.2417
33,1034,31.991442,-101.302637
34,1035,31.991442,-101.302637
35,1036,31.186888,-102.596253
36,1037,31.799158,-102.47409
37,1038,30.772575,-102.505808
38,1039,30.772575,-102.505808
39,1040,32.335729,-102.697303
40,1041,32.1408,-101.3986
41,1042,32.1408,-101.3986
42,1043,32.1408,-101.3986
43,1044,31.272551,-101.172783
44,1045,32.053604,-102.20166
45,1046,30.575618,-101.331239
46,1047,31.5839,-102.9633
47,1048,31.5839,-102.9633
48,1049,31.5839,-102.9633
49,1050,31.5839,-102.9633
50,1051,31.5839,-102.9633
51,1052,31.5839,-102.9633
52,1053,31.5839,-102.9633
53,1054,32.489818,-101.754488
54,1055,32.92701,-101.764414
55,1056,32.2353,-101.8367
56,1057,32.2353,-101.8367
57,1058,30.8847,-101.9208
58,1059,30.8847,-101.9208
59,1060,30.8847,-101.9208
60,1061,32.273182,-101.422436
61,1062,32.273182,-101.422436
62,1063,32.273182,-101.422436
63,1064,32.001129,-102.312423
64,1065,32.100823,-101.451385
65,1066,32.100823,-101.451385
66,1067,32.102911,-101.365434
67,1068,31.517628,-101.918007
68,1069,30.9178,-102.0867
69,1070,30.9178,-102.0867
70,1071,31.8403,-102.3264
71,1072,31.8403,-102.3264
72,1073,31.8403,-102.3264
73,1074,31.8403,-102.3264
74,1075,31.8403,-102.3264
75,1076,31.8403,-102.3264
76,1077,31.8403,-102.3264
77,1078,31.8403,-102.3264
78,1079,31.8403,-102.3264
79,1080,31.8403,-102.3264
80,1081,31.8403,-102.3264
81,1082,30.807272,-102.355628
82,1083,30.747459,-102.790792
83,1084,31.9361,-101.2983
84,1085,31.696251,-103.138992
85,1086,31.803547,-103.599914
86,1087,30.596998,-101.78453
87,1088,31.1392,-102.2253
88,1089,32.929648,-102.133506
89,1090,31.995,-102.828333
90,1091,33.658671,-101.531037
91,2001,33.683869,-95.344733
92,2002,33.628143,-96.367605
93,2003,33.628143,-96.367605
94,2004,33.628143,-96.367605
95,2005,33.628143,-96.367605
