,bus_i,type,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin,lam_P,lam_Q,mu_Vmax,mu_Vmin,bus_name
0,1001,1,20.78,5.89,0,0.0,1,0.9983719999999999,-22.3462,115.0,9,1.1,0.9,0.0,0,0,0,bus_1001
1,1002,1,15.41,4.37,0,0.0,1,1.02291,-17.8585,115.0,9,1.1,0.9,0.0,0,0,0,bus_1002
2,1003,1,0.0,0.0,0,0.0,1,1.0141,-17.5032,115.0,9,1.1,0.9,0.0,0,0,0,bus_1003
3,1004,2,0.0,0.0,0,0.0,1,1.02005,-19.3247,230.0,9,1.1,0.9,0.0,0,0,0,bus_1004
4,1005,1,0.0,0.0,0,0.0,1,1.0123799999999998,-15.9276,115.0,9,1.1,0.9,0.0,0,0,0,bus_1005
5,1006,2,0.0,0.0,0,0.0,1,1.00599,-13.7815,13.8,9,1.1,0.9,0.0,0,0,0,bus_1006
6,1007,1,7.01,1.99,0,-0.77,1,1.03,-18.2162,115.0,9,1.1,0.9,0.0,0,0,0,bus_1007
7,1008,1,0.0,0.0,0,0.0,1,1.02615,-8.58995,115.0,9,1.1,0.9,0.0,0,0,0,bus_1008
8,1009,2,0.0,0.0,0,0.0,1,1.0162,-5.3388599999999995,13.8,9,1.1,0.9,0.0,0,0,0,bus_1009
9,1010,1,0.0,0.0,0,-3.33,1,1.03,-16.5896,115.0,9,1.1,0.9,0.0,0,0,0,bus_1010
10,1011,2,0.0,0.0,0,0.0,1,1.0302200000000001,-14.8392,22.0,9,1.1,0.9,0.0,0,0,0,bus_1011
11,1012,1,2.99,0.85,0,11.3,1,1.03,-25.191,115.0,9,1.1,0.9,0.0,0,0,0,bus_1012
12,1013,1,29.23,8.28,0,0.0,1,1.0142799999999998,-15.1971,115.0,9,1.1,0.9,0.0,0,0,0,bus_1013
13,1014,1,2.22,0.63,0,0.0,1,1.02099,-11.7776,115.0,9,1.1,0.9,0.0,0,0,0,bus_1014
14,1015,1,7.51,2.13,0,0.0,1,1.03195,-17.9787,115.0,9,1.1,0.9,0.0,0,0,0,bus_1015
15,1016,1,2.89,0.82,0,39.43,1,1.03,-15.3915,115.0,9,1.1,0.9,0.0,0,0,0,bus_1016
16,1017,1,18.34,5.2,0,0.0,1,0.996559,-21.1078,115.0,9,1.1,0.9,0.0,0,0,0,bus_1017
17,1018,1,0.07,0.02,0,0.0,1,1.0003,-19.8254,115.0,9,1.1,0.9,0.0,0,0,0,bus_1018
18,1019,1,61.78,17.5,0,261.44,1,1.03,-22.081999999999997,115.0,9,1.1,0.9,0.0,0,0,0,bus_1019
19,1020,1,0.0,0.0,0,71.32,1,1.03,-15.1575,115.0,9,1.1,0.9,0.0,0,0,0,bus_1020
20,1021,2,0.0,0.0,0,0.0,1,1.00587,-8.62704,13.8,9,1.1,0.9,0.0,0,0,0,bus_1021
21,1022,1,0.0,0.0,0,0.0,1,1.01661,-16.6531,115.0,9,1.1,0.9,0.0,0,0,0,bus_1022
22,1023,2,0.0,0.0,0,0.0,1,1.01,-7.774760000000001,13.8,9,1.1,0.9,0.0,0,0,0,bus_1023
23,1024,1,63.04,17.86,0,0.0,1,0.999026,-18.8019,115.0,9,1.1,0.9,0.0,0,0,0,bus_1024
24,1025,1,0.0,0.0,0,0.0,1,1.02427,-14.0817,115.0,9,1.1,0.9,0.0,0,0,0,bus_1025
25,1026,2,0.0,0.0,0,0.0,1,1.0,-4.6170800000000005,13.8,9,1.1,0.9,0.0,0,0,0,bus_1026
26,1027,1,101.21,28.68,0,88.7,1,1.03,-25.5841,115.0,9,1.1,0.9,0.0,0,0,0,bus_1027
27,1028,1,10.01,2.84,0,0.0,1,1.01989,-18.2276,115.0,9,1.1,0.9,0.0,0,0,0,bus_1028
28,1029,1,83.18,23.57,0,61.2,1,1.03,-24.6101,115.0,9,1.1,0.9,0.0,0,0,0,bus_1029
29,1030,1,24.63,6.98,0,0.0,1,1.0225600000000001,-13.3008,115.0,9,1.1,0.9,0.0,0,0,0,bus_1030
30,1031,1,9.25,2.62,0,0.0,1,1.02159,-17.4156,115.0,9,1.1,0.9,0.0,0,0,0,bus_1031
31,1032,1,0.0,0.0,0,0.0,1,1.0098799999999999,-12.2347,115.0,9,1.1,0.9,0.0,0,0,0,bus_1032
32,1033,2,0.0,0.0,0,61.95,1,1.03004,-16.769000000000002,230.0,9,1.1,0.9,0.0,0,0,0,bus_1033
33,1034,1,0.0,0.0,0,0.0,1,1.01013,-14.1633,115.0,9,1.1,0.9,0.0,0,0,0,bus_1034
34,1035,2,0.0,0.0,0,0.0,1,1.00042,-10.8778,13.8,9,1.1,0.9,0.0,0,0,0,bus_1035
35,1036,1,13.6,3.85,0,0.0,1,1.00226,-12.4195,115.0,9,1.1,0.9,0.0,0,0,0,bus_1036
36,1037,1,102.24,28.97,0,0.0,1,0.9904930000000001,-22.1747,115.0,9,1.1,0.9,0.0,0,0,0,bus_1037
37,1038,1,0.0,0.0,0,0.0,1,1.02516,-7.64916,115.0,9,1.1,0.9,0.0,0,0,0,bus_1038
38,1039,2,0.0,0.0,0,0.0,1,1.0048,-2.33133,22.0,9,1.1,0.9,0.0,0,0,0,bus_1039
39,1040,1,44.36,12.57,0,0.0,1,1.00614,-20.1249,115.0,9,1.1,0.9,0.0,0,0,0,bus_1040
40,1041,1,0.0,0.0,0,0.0,1,1.00661,-14.9184,115.0,9,1.1,0.9,0.0,0,0,0,bus_1041
41,1042,2,0.0,0.0,0,0.0,1,1.00661,-14.9184,13.8,9,1.1,0.9,0.0,0,0,0,bus_1042
42,1043,2,0.0,0.0,0,0.0,1,1.0,-11.6843,13.8,9,1.1,0.9,0.0,0,0,0,bus_1043
43,1044,1,14.68,4.16,0,0.0,1,1.0179200000000002,-25.6916,115.0,9,1.1,0.9,0.0,0,0,0,bus_1044
44,1045,1,98.56,27.93,0,0.0,1,1.0034399999999999,-24.0542,115.0,9,1.1,0.9,0.0,0,0,0,bus_1045
