Hours since 00:00 Jan 1,Hourly Data: System power generated (kW)
0.5,9726.48
1.5,8902.73
2.5,5713.68
3.5,6765.65
4.5,9592.64
5.5,6880.58
6.5,4161.47
7.5,5765.88
8.5,3440.36
9.5,2225.81
10.5,2945.23
11.5,5136.93
12.5,4189.81
13.5,2383.12
14.5,4412.25
15.5,5951.07
16.5,8033.37
17.5,7868.01
18.5,7505.82
19.5,8843.82
20.5,11696.3
21.5,11941.8
22.5,12026.8
23.5,11797.4
24.5,11952.4
25.5,12420.5
26.5,12399.8
27.5,12454.3
28.5,12516.7
29.5,12516.7
30.5,12516.7
31.5,12516.7
32.5,12516.7
33.5,12516.7
34.5,12516.7
35.5,12516.7
36.5,12516.7
37.5,12516.7
38.5,12516.4
39.5,12516.7
40.5,12516.7
41.5,12516.7
42.5,12516.7
43.5,12516.7
44.5,12516.7
45.5,12516.7
46.5,12516.7
47.5,12516.7
48.5,12516.7
49.5,12516.7
50.5,12516.7
51.5,12516.7
52.5,12516.7
53.5,12516.7
54.5,12516.7
55.5,12516.7
56.5,12516.7
57.5,12516.7
58.5,12516.7
59.5,12516.7
60.5,12516.7
61.5,12516.7
62.5,12516.7
63.5,12516.7
64.5,12516.7
65.5,12516.7
66.5,12516.7
67.5,12516.7
68.5,12516.7
69.5,12516.7
70.5,12516.7
71.5,12516.7
72.5,12508.5
73.5,12302.6
74.5,11706.7
75.5,10985.9
76.5,10636.5
77.5,10779.6
78.5,11120.9
79.5,12162.6
80.5,12319.2
81.5,12317.8
82.5,11608.3
83.5,11192.3
84.5,11368.1
85.5,11332.5
86.5,10795.8
87.5,11096.4
88.5,11738.6
89.5,12180.3
90.5,12361.9
91.5,12513.8
92.5,12516.7
93.5,12516.7
94.5,12516.7
95.5,12516.7
96.5,12516.7
97.5,12500.1
98.5,12362.3
99.5,11957.8
100.5,12187.9
101.5,11329.1
102.5,9118.2
103.5,11488.7
104.5,11229.7
105.5,8428.56
106.5,3547.82
107.5,809.092
108.5,0
109.5,0
110.5,0
111.5,2584.96
112.5,5185.79
113.5,3080.31
114.5,1610.14
115.5,1954.42
116.5,879.449
