Scenario Number,Scenario Name,ATB Year,PTC Available,ITC Available,Debt Equity,Tower Height,Rotor Diameter,Wind Cost KW,Solar Cost KW,Storage Cost kW,Storage Cost kWh
1,ATB 2020 Moderate,2020,yes,yes,60,90,150,1679,1354,260,299
2,Iowa OPTIMAL,2020,yes,yes,60,90,150,1133,1354,260,299
3,Southeast OPTIMAL,2020,yes,yes,60,160,150,1359,1354,260,299
