,Scenario Choice,Count,Site Lat,Site Lon,ATB Year,Resource Year,Site Name,Critical Load Factor,kW continuous load,PTC,ITC,Hub Height (m),Useful Life,Storage Enabled,Wind Cost kW,Solar Cost kW,Storage Cost kW,Storage Cost kWh,Storage Hours,Wind MW built,Solar MW built,Storage MW built,Storage MWh built,Battery Can Grid Charge,Built Interconnection Size,REOpt Interconnection Size,LCOE,Levelized cost of H2 (excl. electricity) (H2A),Levelized H2 Elec Feedstock Cost/kg (HOPP),Total H2 cost/kg,H2 Elec Feedstock Cost/kg (HOPP) Net Cap Cost Method,H2 Elec Feedstock Cost/kg (REopt) Net Cap Cost Method,REOpt Energy Shortfall,REOpt Curtailment,Grid Connected HOPP,HOPP Total Generation,HOPP Energy Shortfall,HOPP Curtailment,Battery Generation,Electricity to Grid
0,Iowa 2020 Conservative,1,42.952,-94.453,2020,2013,IOWA_wind_focus,0.9,5000,yes,yes,90,25,True,1148,1389,269,309,70.88365093748115,19.999,0.001,15.499550079712,1098.6646975383135,True,20000000,20000,3.8162908294033695,1.4136770362550097,2.1180414103188703,3.53171844657388,1.1575603006460127,20.144602577150685,3686527.6849999996,57107395.298999995,True,89478875.40968564,9428644.867963854,0.0,0.0,0.0
1,Iowa 2020 Moderate,1,42.952,-94.453,2020,2013,IOWA_wind_focus,0.9,5000,yes,yes,90,25,True,1133,1354,260,299,70.88365093748115,19.999,0.001,15.499550079712,1098.6646975383135,True,20000000,20000,3.736652298541247,1.4136770362550097,2.073842025690392,3.4875190619454015,1.1322212951302633,20.144602577150685,3686527.6849999996,57107395.298999995,True,89478875.40968564,9428644.867963854,0.0,0.0,0.0
2,Iowa 2020 Advanced,1,42.952,-94.453,2020,2013,IOWA_wind_focus,0.9,5000,yes,yes,90,25,True,1118,1340,215,247,70.88365093748115,19.999,0.001,15.499550079712,1098.6646975383135,True,20000000,20000,3.410629363555458,1.4136770362550097,1.892899296773279,3.3065763330282887,1.0284888824597171,20.144602577150685,3686527.6849999996,57107395.298999995,True,89478875.40968564,9428644.867963854,0.0,0.0,0.0
3,Iowa 2025 Conservative,1,42.952,-94.453,2025,2013,IOWA_wind_focus,0.9,5000,yes,yes,100,25,True,1060,1306,233,267,70.88365093748115,19.999,0.001,15.499550079712,1098.6646975383135,True,20000000,20000,3.37931029791246,1.4004059847887074,1.8755172153414152,3.275923200130123,1.0249868123399495,20.144602577150685,3686527.6849999996,57107395.298999995,True,90974486.38773829,9195174.654945396,0.0,0.0,0.0
4,Iowa 2025 Moderate,1,42.952,-94.453,2025,2013,IOWA_wind_focus,0.9,5000,yes,yes,110,25,True,1017,1095,179,206,70.88365093748115,19.999,0.001,15.499550079712,1098.6646975383135,True,20000000,20000,2.857430031783356,1.3773729315083787,1.5858736676397627,2.9632465991481416,0.8701172399632952,20.144602577150685,3686527.6849999996,57107395.298999995,True,93682910.25969282,8875466.564768832,0.0,0.0,0.0
5,Iowa 2025 Advanced,1,42.952,-94.453,2025,2013,IOWA_wind_focus,0.9,5000,yes,yes,120,25,True,844,1014,139,160,70.88365093748115,19.999,0.001,15.499550079712,1098.6646975383135,True,20000000,20000,2.3366068669682156,1.3675524940834356,1.2968168111673597,2.664369305250795,0.7087320841067687,20.144602577150685,3686527.6849999996,57107395.298999995,True,94775589.72118527,8695871.672229407,0.0,0.0,0.0
6,Iowa 2030 Conservative,1,42.952,-94.453,2030,2013,IOWA_wind_focus,0.9,5000,yes,yes,110,25,True,974,1223,205,236,70.88365093748115,19.999,0.001,15.499550079712,1098.6646975383135,True,20000000,20000,2.9698550129288295,1.3773729315083787,1.6482695321755003,3.0256424636838792,0.9058883118450275,20.144602577150685,3686527.6849999996,57107395.298999995,True,93682910.25969282,8875466.564768832,0.0,0.0,0.0
7,Iowa 2030 Moderate,1,42.952,-94.453,2030,2013,IOWA_wind_focus,0.9,5000,yes,yes,120,25,True,874,836,146,168,70.88365093748115,19.999,0.001,15.499550079712,1098.6646975383135,True,20000000,20000,2.4196872405865957,1.3675524940834356,1.3429264185255607,2.7104789126089965,0.7351664092775407,20.144602577150685,3686527.6849999996,57107395.298999995,True,94775589.72118527,8695871.672229407,0.0,0.0,0.0
8,Iowa 2035 Advanced,1,42.952,-94.453,2030,2013,IOWA_wind_focus,0.9,5000,yes,yes,135,25,True,536,688,101,116,70.88365093748115,19.999,0.001,15.499550079712,1098.6646975383135,True,20000000,20000,1.6463097470841754,1.3521934818756658,0.9137019096317174,2.2658953915073834,0.496362778004116,20.144602577150685,3686527.6849999996,57107395.298999995,True,96668125.25687173,8418456.842482595,0.0,0.0,0.0
9,Iowa 2030 Conservative,1,42.952,-94.453,2035,2013,IOWA_wind_focus,0.9,5000,yes,yes,120,25,True,989,1127,193,221,70.88365093748115,19.999,0.001,15.499550079712,1098.6646975383135,True,20000000,20000,2.8630928302005696,1.3675524940834356,1.5890165207613163,2.956569014844752,0.8762481958404348,20.144602577150685,3686527.6849999996,57107395.298999995,True,94775589.72118527,8695871.672229407,0.0,0.0,0.0
10,Iowa 2030 Moderate,1,42.952,-94.453,2035,2013,IOWA_wind_focus,0.9,5000,yes,yes,135,25,True,863,799,137,157,70.88365093748115,19.999,0.001,15.499550079712,1098.6646975383135,True,20000000,20000,2.2826524782286883,1.3521934818756658,1.266872125416922,2.6190656072925877,0.6988338993630289,20.144602577150685,3686527.6849999996,57107395.298999995,True,96668125.25687173,8418456.842482595,0.0,0.0,0.0
11,Iowa 2035 Advanced,1,42.952,-94.453,2035,2013,IOWA_wind_focus,0.9,5000,yes,yes,145,25,True,526,645,92,105,70.88365093748115,19.999,0.001,15.499550079712,1098.6646975383135,True,20000000,20000,1.5574203789748569,1.3479326212254765,0.8643683103310456,2.212300931556522,0.4706400985524409,20.144602577150685,3686527.6849999996,57107395.298999995,True,97353123.8977442,8305083.84154394,0.0,0.0,0.0
