,Scenario Choice,Count,Site Lat,Site Lon,ATB Year,Resource Year,Site Name,Critical Load Factor,kW continuous load,PTC,ITC,Hub Height (m),Useful Life,Storage Enabled,Wind Cost kW,Solar Cost kW,Storage Cost kW,Storage Cost kWh,Storage Hours,Wind MW built,Solar MW built,Storage MW built,Storage MWh built,Battery Can Grid Charge,Built Interconnection Size,REOpt Interconnection Size,LCOE,Levelized H2 Elec Feedstock Cost/kg (HOPP),H2 H2 Elec Feedstock Cost/kg (HOPP) Net Cap Cost Method,H2 H2 Elec Feedstock Cost/kg (REopt) Net Cap Cost Method,REOpt Energy Shortfall,REOpt Curtailment,Grid Connected HOPP,HOPP Total Generation,HOPP Energy Shortfall,HOPP Curtailment,Battery Generation,Electricity to Grid
0,ATB 2020 Moderate,1,30.781667,-81.535,2020,2013,Kings Bay,1.0,15000,yes,yes,90,25,True,1679,1354,260,299,228.82729862450608,50.0,0,35.0,8008.955451857713,True,50000000,50000,6.930323254849963,3.8463294064417295,2.402684207176171,47.413897414945204,8603.81200000006,39815676.231,True,164612984.63630003,41207729.01183309,0.0,0.0,0.0
1,ATB 2020 Moderate,1,30.781667,-81.535,2020,2013,Kings Bay,0.9,15000,yes,yes,90,25,True,1679,1354,260,299,134.43608661642992,50.0,0,36.5,4906.917161499692,True,50000000,50000,7.02283698493205,3.8976745266372883,2.439557417579576,29.582657096438354,9173670.468,56519477.286,True,164612984.63630003,41207729.01183309,0.0,0.0,0.0
