,Scenario Choice,Count,Site Lat,Site Lon,ATB Year,Resource Year,Site Name,Critical Load Factor,kW continuous load,PTC,ITC,Hub Height (m),Useful Life,Storage Enabled,Wind Cost kW,Solar Cost kW,Storage Cost kW,Storage Cost kWh,Storage Hours,Wind MW built,Solar MW built,Storage MW built,Storage MWh built,Battery Can Grid Charge,Built Interconnection Size,REOpt Interconnection Size,LCOE,Levelized H2 Elec Feedstock Cost/kg (HOPP),H2 H2 Elec Feedstock Cost/kg (HOPP) Net Cap Cost Method,H2 H2 Elec Feedstock Cost/kg (REopt) Net Cap Cost Method,REOpt Energy Shortfall,REOpt Curtailment,Grid Connected HOPP,HOPP Total Generation,HOPP Energy Shortfall,HOPP Curtailment,Battery Generation,Electricity to Grid
0,Southeast 2020 Conservative,1,33.51,-84.969,2020,2013,Southeast,0.9,5000,yes,yes,160,25,True,1148,1389,269,309,15.945111585034942,10.7549688,30.6621461,8.73200798359856,139.232841659895,True,20000000,20000,7.169391778648497,3.9790124371499154,3.5396714021916686,4.547694828520548,2088644.241,35089795.458000004,True,81656089.07733671,7453882.973990748,0.0,0.0,0.0
1,Southeast 2020 Moderate,1,33.51,-84.969,2020,2013,Southeast,0.9,5000,yes,yes,160,25,True,1133,1354,260,299,15.945111585034942,10.7549688,30.6621461,8.73200798359856,139.232841659895,True,20000000,20000,7.0519320159420165,3.9138222688478193,3.4560460250847425,4.547694828520548,2088644.241,35089795.458000004,True,81656089.07733671,7453882.973990748,0.0,0.0,0.0
2,Southeast 2020 Advanced,1,33.51,-84.969,2020,2013,Southeast,0.9,5000,yes,yes,160,25,True,1118,1340,215,247,15.945111585034942,10.7549688,30.6621461,8.73200798359856,139.232841659895,True,20000000,20000,6.853552750751704,3.8037217766671954,3.3148100777315084,4.547694828520548,2088644.241,35089795.458000004,True,81656089.07733671,7453882.973990748,0.0,0.0,0.0
3,Southeast 2025 Conservative,1,33.51,-84.969,2025,2013,Southeast,0.9,5000,yes,yes,165,25,True,1060,1306,233,267,15.945111585034942,10.7549688,30.6621461,8.73200798359856,139.232841659895,True,20000000,20000,6.745615634788098,3.7438166773073944,3.27698992078743,4.547694828520548,2088644.241,35089795.458000004,True,82311351.73314102,7394494.828661842,0.0,0.0,0.0
4,Southeast 2025 Moderate,1,33.51,-84.969,2025,2013,Southeast,0.9,5000,yes,yes,165,25,True,1017,1095,179,206,15.945111585034942,10.7549688,30.6621461,8.73200798359856,139.232841659895,True,20000000,20000,6.075009172413364,3.3716300906894174,2.7957210214076014,4.547694828520548,2088644.241,35089795.458000004,True,82311351.73314102,7394494.828661842,0.0,0.0,0.0
5,Southeast 2025 Advanced,1,33.51,-84.969,2025,2013,Southeast,0.9,5000,yes,yes,165,25,True,844,1014,139,160,15.945111585034942,10.7549688,30.6621461,8.73200798359856,139.232841659895,True,20000000,20000,5.639580752235152,3.129967317490509,2.483230509765671,4.547694828520548,2088644.241,35089795.458000004,True,82311351.73314102,7394494.828661842,0.0,0.0,0.0
6,Southeast 2030 Conservative,1,33.51,-84.969,2030,2013,Southeast,0.9,5000,yes,yes,171,25,True,974,1223,205,236,15.945111585034942,10.7549688,30.6621461,8.73200798359856,139.232841659895,True,20000000,20000,6.392305308706877,3.5477294463323172,3.03769471106028,4.547694828520548,2088644.241,35089795.458000004,True,82563908.91939425,7338004.129382247,0.0,0.0,0.0
7,Southeast 2030 Moderate,1,33.51,-84.969,2030,2013,Southeast,0.9,5000,yes,yes,180,25,True,874,836,146,168,15.945111585034942,10.7549688,30.6621461,8.73200798359856,139.232841659895,True,20000000,20000,5.261297541691707,2.9200201356388975,2.24018009897948,4.547694828520548,2088644.241,35089795.458000004,True,82921270.18281725,7257755.935631205,0.0,0.0,0.0
8,Southeast 2035 Advanced,1,33.51,-84.969,2030,2013,Southeast,0.9,5000,yes,yes,190,25,True,536,688,101,116,15.945111585034942,10.7549688,30.6621461,8.73200798359856,139.232841659895,True,20000000,20000,4.532314241599525,2.515434404087736,1.727802784423917,4.547694828520548,2088644.241,35089795.458000004,True,83285501.69401692,7172725.590088337,0.0,0.0,0.0
9,Southeast 2030 Conservative,1,33.51,-84.969,2035,2013,Southeast,0.9,5000,yes,yes,195,25,True,989,1127,193,221,15.945111585034942,10.7549688,30.6621461,8.73200798359856,139.232841659895,True,20000000,20000,6.086451163998705,3.377980396019281,2.8657477476603663,4.547694828520548,2088644.241,35089795.458000004,True,83460227.38936494,7132951.597346639,0.0,0.0,0.0
