,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Wind,-68992000.0,-4157830.3561835056,-2262149.9601968587,-4498215.16031611,-5893043.509118768,-6025030.597768884,-7108261.048616291,-8193111.50267286,-8330939.219597897,-8471403.510110147,-8614831.77473477,-8760994.635946166,-8910249.948105624,-9062371.405734112,-9217720.010641916,-9376072.682072498,-9561130.787189832,-9749410.783178195,-9917723.739631992,-10089483.433024276,-10264768.420908784,-10457386.831869394,-10653693.362354798,-10840044.690666422,-11030254.892128367,-11224412.43946881
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H2,-1745064.439957573,-1745064.439957573,-1745064.439957573,-1745064.439957573,-1745064.439957573,-1745064.439957573,-1745064.439957573,-1745064.439957573,-1745064.439957573,-1745064.439957573,-1745064.439957573,-1745064.439957573,-1745064.439957573,-1745064.439957573,-1745064.439957573,-1745064.439957573,-1745064.439957573,-1745064.439957573,-1745064.439957573,-1745064.439957573,-1745064.439957573,-1745064.439957573,-1745064.439957573,-1745064.439957573,-1745064.439957573,
