,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Wind,-128380000.0,-1898194.9609329365,1728570.6127311848,-2330981.683559455,-4823102.994722548,-4963226.93543581,-6871264.165900755,-8780110.764222857,-8924486.360019505,-9071461.20266457,-9221591.800259994,-9374397.342455242,-9530488.437725045,-9689387.36097833,-9851707.88148383,-10016975.512351431,-10229232.838226812,-10444719.510045644,-10620221.888314115,-10799242.89773922,-10981861.814816877,-11193704.221562568,-11409308.820517905,-11603216.303411162,-11801058.221000552,-12002923.801629718
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H2,-4450681.854198908,-4450681.854198908,-4450681.854198908,-4450681.854198908,-4450681.854198908,-4450681.854198908,-4450681.854198908,-4450681.854198908,-4450681.854198908,-4450681.854198908,-4450681.854198908,-4450681.854198908,-4450681.854198908,-4450681.854198908,-4450681.854198908,-4450681.854198908,-4450681.854198908,-4450681.854198908,-4450681.854198908,-4450681.854198908,-4450681.854198908,-4450681.854198908,-4450681.854198908,-4450681.854198908,-4450681.854198908,
