,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Wind,-128380000.0,1397625.0137830153,5057348.787194294,1031084.2726482879,-1427416.3789527267,-1533583.4535082919,-3407324.2491539596,-5281531.448308594,-5390921.250946099,-5502560.442500431,-5617002.032494214,-5733761.677011806,-5853446.415627173,-5975574.9186594775,-6100757.31474179,-6228515.439941972,-6402888.165093256,-6580111.390180754,-6716967.687250575,-6856956.154665046,-7000152.204311962,-7172177.514952603,-7347566.846841839,-7500856.909998335,-7657675.2336535975,-7818106.984409294
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H2,-4346616.143739686,-4346616.143739686,-4346616.143739686,-4346616.143739686,-4346616.143739686,-4346616.143739686,-4346616.143739686,-4346616.143739686,-4346616.143739686,-4346616.143739686,-4346616.143739686,-4346616.143739686,-4346616.143739686,-4346616.143739686,-4346616.143739686,-4346616.143739686,-4346616.143739686,-4346616.143739686,-4346616.143739686,-4346616.143739686,-4346616.143739686,-4346616.143739686,-4346616.143739686,-4346616.143739686,-4346616.143739686,
