,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Wind,-105938000.0,-3250068.361458182,-282438.58555016853,-3657947.0214552153,-5740494.664145266,-5882674.529967891,-7484209.399877895,-9086911.787341375,-9234099.228430841,-9383952.883775122,-9536943.213141449,-9692684.95348061,-9851693.739820464,-10013587.400109801,-10178884.735966414,-10347206.81939394,-10554910.09848454,-10765897.148403801,-10944521.995116852,-11126696.697670987,-11312500.844808962,-11523094.936965574,-11737483.39215544,-11934672.620765071,-12135829.101528,-12341042.39096244
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H2,-3384956.185550468,-3384956.185550468,-3384956.185550468,-3384956.185550468,-3384956.185550468,-3384956.185550468,-3384956.185550468,-3384956.185550468,-3384956.185550468,-3384956.185550468,-3384956.185550468,-3384956.185550468,-3384956.185550468,-3384956.185550468,-3384956.185550468,-3384956.185550468,-3384956.185550468,-3384956.185550468,-3384956.185550468,-3384956.185550468,-3384956.185550468,-3384956.185550468,-3384956.185550468,-3384956.185550468,-3384956.185550468,
