,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Wind,-128380000.0,-1680409.2417817097,1948534.189073923,-2108818.4714532886,-4598718.15049532,-4736598.2427663095,-6642369.186304558,-8548926.8348307,-8690990.591333427,-8835630.47629163,-8983402.766623326,-9133826.418482207,-9287511.80451228,-9443980.961433437,-9603847.417943489,-9766636.444175687,-9976390.379369307,-10189348.626599565,-10362297.296033574,-10538739.059535876,-10718752.938231498,-10927964.256211337,-11140911.45551316,-11332134.964756368,-11527266.068959212,-11726393.728067964
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H2,-4443080.736516457,-4443080.736516457,-4443080.736516457,-4443080.736516457,-4443080.736516457,-4443080.736516457,-4443080.736516457,-4443080.736516457,-4443080.736516457,-4443080.736516457,-4443080.736516457,-4443080.736516457,-4443080.736516457,-4443080.736516457,-4443080.736516457,-4443080.736516457,-4443080.736516457,-4443080.736516457,-4443080.736516457,-4443080.736516457,-4443080.736516457,-4443080.736516457,-4443080.736516457,-4443080.736516457,-4443080.736516457,
