,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Wind,-128380000.0,867709.2891750839,4522133.905340285,490517.2419757368,-1973389.0799320037,-2085015.8814973622,-3964271.0014229207,-5844047.668100244,-5959062.632935666,-6076383.238309894,-6196563.056261771,-6319118.311017037,-6444656.615972458,-6572697.221008215,-6703850.840114016,-6837639.900567918,-7018103.870325463,-7201479.252465283,-7344549.22815795,-7490813.510981494,-7640348.1341915745,-7818775.404131011,-8000630.714912033,-8160451.41674923,-8323865.685472,-8490959.340745881
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H2,-4361597.3932567835,-4361597.3932567835,-4361597.3932567835,-4361597.3932567835,-4361597.3932567835,-4361597.3932567835,-4361597.3932567835,-4361597.3932567835,-4361597.3932567835,-4361597.3932567835,-4361597.3932567835,-4361597.3932567835,-4361597.3932567835,-4361597.3932567835,-4361597.3932567835,-4361597.3932567835,-4361597.3932567835,-4361597.3932567835,-4361597.3932567835,-4361597.3932567835,-4361597.3932567835,-4361597.3932567835,-4361597.3932567835,-4361597.3932567835,-4361597.3932567835,
