,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Wind,-68992000.0,-3890492.1681540557,-1992138.3902871148,-4225503.474707267,-5617604.706653838,-5746837.407279304,-6827285.926221815,-7909326.629054439,-8044316.497243293,-8181914.560531996,-8322447.935660839,-8465686.958481494,-8611989.193866305,-8761128.043952402,-8913464.215242388,-9068774.328718973,-9250759.450302772,-9435935.732922267,-9601113.938873501,-9769707.534258202,-9941794.763155049,-10131183.43753812,-10324227.934080213,-10507284.608109092,-10694167.208745463,-10884963.879252078
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H2,-1735712.0656984714,-1735712.0656984714,-1735712.0656984714,-1735712.0656984714,-1735712.0656984714,-1735712.0656984714,-1735712.0656984714,-1735712.0656984714,-1735712.0656984714,-1735712.0656984714,-1735712.0656984714,-1735712.0656984714,-1735712.0656984714,-1735712.0656984714,-1735712.0656984714,-1735712.0656984714,-1735712.0656984714,-1735712.0656984714,-1735712.0656984714,-1735712.0656984714,-1735712.0656984714,-1735712.0656984714,-1735712.0656984714,-1735712.0656984714,-1735712.0656984714,
