,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Wind,-64680000.0,-5390204.637185307,-3630896.6774804583,-5745353.388858965,-7071408.114875052,-7213811.20054459,-8248271.549969922,-9284521.929211516,-9433214.530937798,-9584659.819527049,-9739169.6946617,-9896534.180035964,-10057093.935052173,-10220642.077513728,-10387522.436555183,-10557531.377208497,-10752894.550353047,-10951601.872365644,-11131919.580107313,-11315804.072300352,-11503335.106973622,-11707464.044990879,-11915404.787605498,-12114373.23016963,-12317326.717026606,-12524354.982616032
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H2,-1241099.7081371767,-1241099.7081371767,-1241099.7081371767,-1241099.7081371767,-1241099.7081371767,-1241099.7081371767,-1241099.7081371767,-1241099.7081371767,-1241099.7081371767,-1241099.7081371767,-1241099.7081371767,-1241099.7081371767,-1241099.7081371767,-1241099.7081371767,-1241099.7081371767,-1241099.7081371767,-1241099.7081371767,-1241099.7081371767,-1241099.7081371767,-1241099.7081371767,-1241099.7081371767,-1241099.7081371767,-1241099.7081371767,-1241099.7081371767,-1241099.7081371767,
