,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Wind,-64680000.0,-4033353.0103443647,-2260476.5343711074,-4361229.0443185195,-5673442.526889203,-5801865.956678883,-6822206.853665557,-7844196.585944107,-7978485.934237717,-8115383.936859964,-8255201.053167943,-8397725.85212727,-8543297.523864396,-8691707.702214072,-8843298.71750253,-8997865.420965318,-9177631.934547435,-9360586.630401976,-9524994.185724009,-9692809.423973214,-9864110.512163213,-10051847.204232367,-10243231.778439399,-10425478.490911871,-10611543.030376269,-10801513.459099192
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H2,-1196178.3163443853,-1196178.3163443853,-1196178.3163443853,-1196178.3163443853,-1196178.3163443853,-1196178.3163443853,-1196178.3163443853,-1196178.3163443853,-1196178.3163443853,-1196178.3163443853,-1196178.3163443853,-1196178.3163443853,-1196178.3163443853,-1196178.3163443853,-1196178.3163443853,-1196178.3163443853,-1196178.3163443853,-1196178.3163443853,-1196178.3163443853,-1196178.3163443853,-1196178.3163443853,-1196178.3163443853,-1196178.3163443853,-1196178.3163443853,-1196178.3163443853,
