,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Wind,-105938000.0,-3407090.725260416,-441031.1729904255,-3818125.5347698745,-5902274.962593071,-6046072.631400174,-7649241.4823245015,-9253594.190612447,-9402448.455734625,-9553985.603351943,-9708676.259914037,-9866135.330720926,-10026878.62083318,-10190524.129932648,-10357590.833087485,-10527699.977486227,-10737208.188157748,-10950018.218973741,-11130484.276392493,-11314518.601759382,-11502200.96793824,-11714692.061326146,-11930996.487759618,-12130120.847325291,-12333231.810353823,-12540419.126876522
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H2,-3390239.036154985,-3390239.036154985,-3390239.036154985,-3390239.036154985,-3390239.036154985,-3390239.036154985,-3390239.036154985,-3390239.036154985,-3390239.036154985,-3390239.036154985,-3390239.036154985,-3390239.036154985,-3390239.036154985,-3390239.036154985,-3390239.036154985,-3390239.036154985,-3390239.036154985,-3390239.036154985,-3390239.036154985,-3390239.036154985,-3390239.036154985,-3390239.036154985,-3390239.036154985,-3390239.036154985,-3390239.036154985,
