,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Wind,-105938000.0,-728013.0691573503,2264837.25967367,-1085198.4177791378,-3142018.574432428,-3258213.6793579245,-4833503.940761827,-6409699.273634147,-6530114.589586543,-6652928.39854238,-6778608.483056378,-6906766.876094691,-7037916.481660684,-7171672.369368423,-7308550.554917621,-7448169.296534661,-7626882.200396669,-7808588.97133505,-7957640.7362774145,-8109946.626243154,-8265583.272666851,-8445708.18910204,-8629322.776813272,-8795430.39926948,-8965194.457817456,-9138701.40081479
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H2,-3302893.3461583797,-3302893.3461583797,-3302893.3461583797,-3302893.3461583797,-3302893.3461583797,-3302893.3461583797,-3302893.3461583797,-3302893.3461583797,-3302893.3461583797,-3302893.3461583797,-3302893.3461583797,-3302893.3461583797,-3302893.3461583797,-3302893.3461583797,-3302893.3461583797,-3302893.3461583797,-3302893.3461583797,-3302893.3461583797,-3302893.3461583797,-3302893.3461583797,-3302893.3461583797,-3302893.3461583797,-3302893.3461583797,-3302893.3461583797,-3302893.3461583797,
