,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Wind,-68992000.0,-4952676.691842537,-3064944.759212481,-5309037.907321888,-6711974.483594606,-6852150.881989478,-7943652.535679091,-9036856.904606288,-9183122.07555066,-9332108.194622438,-9484143.506092183,-9638999.484617155,-9797034.845263321,-9958024.151863389,-10122329.284232482,-10289728.048398972,-10483922.707179569,-10681430.622367831,-10859063.777213521,-11040236.870981622,-11225029.393245704,-11427250.413929682,-11633255.58023569,-11829402.530726124,-12029506.310588665,-12233656.372113712
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H2,-1770544.6610673487,-1770544.6610673487,-1770544.6610673487,-1770544.6610673487,-1770544.6610673487,-1770544.6610673487,-1770544.6610673487,-1770544.6610673487,-1770544.6610673487,-1770544.6610673487,-1770544.6610673487,-1770544.6610673487,-1770544.6610673487,-1770544.6610673487,-1770544.6610673487,-1770544.6610673487,-1770544.6610673487,-1770544.6610673487,-1770544.6610673487,-1770544.6610673487,-1770544.6610673487,-1770544.6610673487,-1770544.6610673487,-1770544.6610673487,-1770544.6610673487,
