,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Wind,-68992000.0,-5626847.168637559,-3745856.9407754513,-5996759.210700488,-7406573.000006991,-7553695.383565988,-8652212.482271368,-9752502.450664487,-9905924.077069439,-10062138.216156404,-10221473.82784149,-10383703.109583955,-10549185.506479789,-10717696.319692021,-10889598.173739403,-11064669.62680096,-11266613.701365579,-11471948.526495699,-11657486.86038267,-11846644.184982464,-12039500.780386552,-12249866.514941938,-12464097.84225807,-12668553.215368725,-12877048.502077693,-13089673.98551763
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H2,-1792824.7665363883,-1792824.7665363883,-1792824.7665363883,-1792824.7665363883,-1792824.7665363883,-1792824.7665363883,-1792824.7665363883,-1792824.7665363883,-1792824.7665363883,-1792824.7665363883,-1792824.7665363883,-1792824.7665363883,-1792824.7665363883,-1792824.7665363883,-1792824.7665363883,-1792824.7665363883,-1792824.7665363883,-1792824.7665363883,-1792824.7665363883,-1792824.7665363883,-1792824.7665363883,-1792824.7665363883,-1792824.7665363883,-1792824.7665363883,-1792824.7665363883,
