,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Wind,-105938000.0,-2037587.5225338638,942167.0617633918,-2421095.3176685194,-4491274.443320703,-4620962.106935083,-6209879.852614757,-7799838.944605608,-7934155.657267717,-8071009.876900365,-8210870.776197943,-8353351.792167671,-8498967.246894395,-8647333.642254472,-8798968.44053253,-8953491.361005718,-9147257.485512435,-9344168.009301975,-9508575.56462401,-9676390.802873215,-9847691.891063213,-10043637.893682366,-10243231.778439399,-10425478.490911871,-10611543.030376269,-10801513.459099192
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H2,-3344735.737126941,-3344735.737126941,-3344735.737126941,-3344735.737126941,-3344735.737126941,-3344735.737126941,-3344735.737126941,-3344735.737126941,-3344735.737126941,-3344735.737126941,-3344735.737126941,-3344735.737126941,-3344735.737126941,-3344735.737126941,-3344735.737126941,-3344735.737126941,-3344735.737126941,-3344735.737126941,-3344735.737126941,-3344735.737126941,-3344735.737126941,-3344735.737126941,-3344735.737126941,-3344735.737126941,-3344735.737126941,
