,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Wind,-68992000.0,-5480202.964103986,-3597746.2941965433,-5847167.457655791,-7255485.329431847,-7401096.836285094,-8498087.949517662,-9596836.672583245,-9748701.641207386,-9903343.555935731,-10061091.22101861,-10221716.676692845,-10385579.209259769,-10552453.959499799,-10722703.389945257,-10896105.895168874,-11096364.332417171,-11299996.66385781,-11483815.479118401,-11671236.089905553,-11862338.60435887,-12070932.717153981,-12283374.706492232,-12486022.84824523,-12692692.831282962,-12903474.75801495
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H2,-1787909.4255231118,-1787909.4255231118,-1787909.4255231118,-1787909.4255231118,-1787909.4255231118,-1787909.4255231118,-1787909.4255231118,-1787909.4255231118,-1787909.4255231118,-1787909.4255231118,-1787909.4255231118,-1787909.4255231118,-1787909.4255231118,-1787909.4255231118,-1787909.4255231118,-1787909.4255231118,-1787909.4255231118,-1787909.4255231118,-1787909.4255231118,-1787909.4255231118,-1787909.4255231118,-1787909.4255231118,-1787909.4255231118,-1787909.4255231118,-1787909.4255231118,
