,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Wind,-105938000.0,560780.9311063262,3566519.199939984,229500.3418898387,-1814172.8271667613,-1917089.474619601,-3478968.49397612,-5041618.472380584,-5148352.980320444,-5257349.173183619,-5369073.46544403,-5483136.508306219,-5600049.8101943275,-5719427.031187403,-5841782.763354792,-5966733.827056202,-6130632.376223425,-6297376.648920075,-6431316.290638289,-6568358.936147638,-6708579.70567038,-6873134.586435605,-7041023.438120171,-7191248.067189449,-7344970.302416623,-7502275.00385995
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H2,-3263151.6905525983,-3263151.6905525983,-3263151.6905525983,-3263151.6905525983,-3263151.6905525983,-3263151.6905525983,-3263151.6905525983,-3263151.6905525983,-3263151.6905525983,-3263151.6905525983,-3263151.6905525983,-3263151.6905525983,-3263151.6905525983,-3263151.6905525983,-3263151.6905525983,-3263151.6905525983,-3263151.6905525983,-3263151.6905525983,-3263151.6905525983,-3263151.6905525983,-3263151.6905525983,-3263151.6905525983,-3263151.6905525983,-3263151.6905525983,-3263151.6905525983,
