,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Wind,-128380000.0,-1719511.8177422592,1909040.5873537688,-2148707.009190644,-4639005.573610049,-4777288.540112187,-6683466.386623895,-8590435.007153228,-8732913.84537918,-8877972.962877842,-9026168.6780754,-9177019.989048801,-9331137.310784541,-9488042.722768418,-9648349.79689182,-9811583.846913502,-10021787.2561345,-10235199.472132413,-10408606.650021749,-10585511.507063933,-10765993.110234838,-10975676.829934707,-11189101.154973764,-11380806.561211579,-11576424.381378975,-11776043.623611923
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H2,-4444417.319727326,-4444417.319727326,-4444417.319727326,-4444417.319727326,-4444417.319727326,-4444417.319727326,-4444417.319727326,-4444417.319727326,-4444417.319727326,-4444417.319727326,-4444417.319727326,-4444417.319727326,-4444417.319727326,-4444417.319727326,-4444417.319727326,-4444417.319727326,-4444417.319727326,-4444417.319727326,-4444417.319727326,-4444417.319727326,-4444417.319727326,-4444417.319727326,-4444417.319727326,-4444417.319727326,-4444417.319727326,
