,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Wind,-68992000.0,-2881540.492433414,-973097.1978092673,-3196271.8703046404,-4578080.786207185,-4696918.247628185,-5766867.574974184,-6838304.094294332,-6962583.737135585,-7089364.472823212,-7218972.347074966,-7351176.614009764,-7486333.745949856,-7624216.041556788,-7765183.092822818,-7909010.3950752085,-8079397.87732257,-8252860.544212261,-8406207.998276398,-8562852.534255126,-8722871.213151943,-8900070.652034983,-9080804.020722045,-9251426.455617342,-9425750.474728793,-9603862.977895243
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H2,-1702429.7261825853,-1702429.7261825853,-1702429.7261825853,-1702429.7261825853,-1702429.7261825853,-1702429.7261825853,-1702429.7261825853,-1702429.7261825853,-1702429.7261825853,-1702429.7261825853,-1702429.7261825853,-1702429.7261825853,-1702429.7261825853,-1702429.7261825853,-1702429.7261825853,-1702429.7261825853,-1702429.7261825853,-1702429.7261825853,-1702429.7261825853,-1702429.7261825853,-1702429.7261825853,-1702429.7261825853,-1702429.7261825853,-1702429.7261825853,-1702429.7261825853,
