,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Wind,-128380000.0,-2226559.871230069,1396922.0533310818,-2665946.7285535587,-5161417.6901665935,-5304924.777834296,-7216378.986723226,-9128676.733253552,-9276537.988740506,-9427033.347672783,-9580719.66671829,-9737116.48757812,-9896834.774299152,-10059397.160918176,-10225417.779423077,-10394422.50927007,-10610454.305114634,-10829753.191602347,-11009105.906686384,-11192015.756295213,-11378562.401958428,-11594371.814575536,-11813983.089461002,-12011937.31504369,-12213866.442749405,-12419860.10559606
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H2,-4460940.766944053,-4460940.766944053,-4460940.766944053,-4460940.766944053,-4460940.766944053,-4460940.766944053,-4460940.766944053,-4460940.766944053,-4460940.766944053,-4460940.766944053,-4460940.766944053,-4460940.766944053,-4460940.766944053,-4460940.766944053,-4460940.766944053,-4460940.766944053,-4460940.766944053,-4460940.766944053,-4460940.766944053,-4460940.766944053,-4460940.766944053,-4460940.766944053,-4460940.766944053,-4460940.766944053,-4460940.766944053,
