,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Wind,-64680000.0,-4810673.372917625,-3045570.1005701004,-5154173.546179502,-6474316.473768796,-6610748.64302727,-7639178.366877431,-8669337.814288098,-8811878.574865147,-8957110.50389367,-9105344.885871986,-9256371.123158354,-9410529.24760579,-9567611.743192878,-9727961.798891125,-9891375.1331678,-10080076.743871942,-10272055.887819728,-10445578.13571594,-10622599.213465063,-10803198.199549979,-11000325.768493,-11201195.128342642,-11393021.474314144,-11588761.443612564,-11788504.05646785
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H2,-1221867.2264302506,-1221867.2264302506,-1221867.2264302506,-1221867.2264302506,-1221867.2264302506,-1221867.2264302506,-1221867.2264302506,-1221867.2264302506,-1221867.2264302506,-1221867.2264302506,-1221867.2264302506,-1221867.2264302506,-1221867.2264302506,-1221867.2264302506,-1221867.2264302506,-1221867.2264302506,-1221867.2264302506,-1221867.2264302506,-1221867.2264302506,-1221867.2264302506,-1221867.2264302506,-1221867.2264302506,-1221867.2264302506,-1221867.2264302506,-1221867.2264302506,
