,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Wind,-128380000.0,-278316.3541757455,3364648.0055559473,-678543.5168064442,-3154140.446302006,-3277574.7615310643,-5168755.47025696,-7060576.981622623,-7187757.239593269,-7317364.791034073,-7449954.424513193,-7585043.592950973,-7723241.1507257335,-7864067.601109023,-8008134.924015831,-8154966.825308753,-8348604.064313706,-8545284.448393408,-8701792.476045355,-8861629.191347774,-9024871.971361518,-9217144.479672654,-9412983.481209092,-9586927.710709259,-9764606.74237163,-9946107.808214508
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H2,-4396792.034854999,-4396792.034854999,-4396792.034854999,-4396792.034854999,-4396792.034854999,-4396792.034854999,-4396792.034854999,-4396792.034854999,-4396792.034854999,-4396792.034854999,-4396792.034854999,-4396792.034854999,-4396792.034854999,-4396792.034854999,-4396792.034854999,-4396792.034854999,-4396792.034854999,-4396792.034854999,-4396792.034854999,-4396792.034854999,-4396792.034854999,-4396792.034854999,-4396792.034854999,-4396792.034854999,-4396792.034854999,
