,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Wind,-128380000.0,-1521302.4207363795,2109232.0783297075,-1946513.6033049468,-4434790.233665494,-4571031.046768186,-6475146.318346454,-8380031.738193013,-8520406.543729361,-8663340.588211527,-8809389.979662422,-8958073.503651693,-9110001.360533461,-9264695.41301483,-9422769.014040694,-9583747.256233864,-9791672.299548067,-10002783.365980113,-10173866.38280793,-10348423.837177973,-10526534.563650018,-10733823.69788404,-10944829.491602592,-11134092.181206694,-11327242.85757404,-11524370.28456894
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H2,-4437911.957272104,-4437911.957272104,-4437911.957272104,-4437911.957272104,-4437911.957272104,-4437911.957272104,-4437911.957272104,-4437911.957272104,-4437911.957272104,-4437911.957272104,-4437911.957272104,-4437911.957272104,-4437911.957272104,-4437911.957272104,-4437911.957272104,-4437911.957272104,-4437911.957272104,-4437911.957272104,-4437911.957272104,-4437911.957272104,-4437911.957272104,-4437911.957272104,-4437911.957272104,-4437911.957272104,-4437911.957272104,
