,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Wind,-128380000.0,-977595.8329981142,2658375.7319453554,-1391878.5131531423,-3874608.792612172,-4005247.7913043313,-5903705.23032796,-7802876.239294333,-7937479.489841696,-8074584.263784984,-8214746.091991613,-8357483.177104179,-8503405.13072047,-8652033.220903708,-8803980.200008463,-8958770.554061309,-9160445.830353789,-9365244.632093892,-9529952.261582844,-9698070.574740637,-9869677.76858831,-10070398.334871715,-10274769.874960141,-10457331.968397819,-10643715.042637076,-10834007.191482607
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H2,-4419671.681150469,-4419671.681150469,-4419671.681150469,-4419671.681150469,-4419671.681150469,-4419671.681150469,-4419671.681150469,-4419671.681150469,-4419671.681150469,-4419671.681150469,-4419671.681150469,-4419671.681150469,-4419671.681150469,-4419671.681150469,-4419671.681150469,-4419671.681150469,-4419671.681150469,-4419671.681150469,-4419671.681150469,-4419671.681150469,-4419671.681150469,-4419671.681150469,-4419671.681150469,-4419671.681150469,-4419671.681150469,
