,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Wind,-68992000.0,-2119587.4583556647,-203524.6333907405,-2419003.580241929,-3793039.8132438464,-3904026.8649352123,-4966047.278454281,-6029475.59480923,-6145666.952655633,-6264278.52049846,-6385635.535226967,-6509506.434043285,-6636246.864183713,-6765628.2909729825,-6898009.464733174,-7033165.030704669,-7194794.059308325,-7359410.688017873,-7503823.643520066,-7651444.335951231,-7802348.93286501,-7970343.148945181,-8141779.2426013425,-8303011.429715433,-8467851.298567867,-8636384.809972705
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H2,-1679263.5540255157,-1679263.5540255157,-1679263.5540255157,-1679263.5540255157,-1679263.5540255157,-1679263.5540255157,-1679263.5540255157,-1679263.5540255157,-1679263.5540255157,-1679263.5540255157,-1679263.5540255157,-1679263.5540255157,-1679263.5540255157,-1679263.5540255157,-1679263.5540255157,-1679263.5540255157,-1679263.5540255157,-1679263.5540255157,-1679263.5540255157,-1679263.5540255157,-1679263.5540255157,-1679263.5540255157,-1679263.5540255157,-1679263.5540255157,-1679263.5540255157,
