,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Wind,-128380000.0,-2167961.634368144,1456106.2725616256,-2606170.6671307096,-5101043.868129515,-5243947.217576847,-7154791.650863201,-9066473.524034929,-9213712.747429697,-9363579.853948865,-9516631.638057131,-9672387.57863035,-9831458.576261906,-9993367.200900558,-10158727.51980528,-10327065.347056096,-10542423.571278524,-10761042.150427874,-10939707.755100165,-11121923.623193134,-11307769.347525328,-11522870.829598105,-11741767.094633795,-11938999.16026821,-12140198.90642617,-12345455.893909594
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H2,-4458988.86911189,-4458988.86911189,-4458988.86911189,-4458988.86911189,-4458988.86911189,-4458988.86911189,-4458988.86911189,-4458988.86911189,-4458988.86911189,-4458988.86911189,-4458988.86911189,-4458988.86911189,-4458988.86911189,-4458988.86911189,-4458988.86911189,-4458988.86911189,-4458988.86911189,-4458988.86911189,-4458988.86911189,-4458988.86911189,-4458988.86911189,-4458988.86911189,-4458988.86911189,-4458988.86911189,-4458988.86911189,
