,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Wind,-68992000.0,-4246945.713849529,-2352156.4714395422,-4589121.73667122,-5984859.151237431,-6117764.396308731,-7201922.185141537,-8287709.250563359,-8426482.944967302,-8567902.672733245,-8712295.928984102,-8859433.43173799,-9009673.131855365,-9162788.821321351,-9319141.600385025,-9478508.487713039,-9664590.950886779,-9853905.548512112,-10023263.452619247,-10196078.543141404,-10372429.482127083,-10566124.503699876,-10763518.410903586,-10950967.989700697,-11142287.424152983,-11337565.296813674
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H2,-1747402.7517112163,-1747402.7517112163,-1747402.7517112163,-1747402.7517112163,-1747402.7517112163,-1747402.7517112163,-1747402.7517112163,-1747402.7517112163,-1747402.7517112163,-1747402.7517112163,-1747402.7517112163,-1747402.7517112163,-1747402.7517112163,-1747402.7517112163,-1747402.7517112163,-1747402.7517112163,-1747402.7517112163,-1747402.7517112163,-1747402.7517112163,-1747402.7517112163,-1747402.7517112163,-1747402.7517112163,-1747402.7517112163,-1747402.7517112163,-1747402.7517112163,
