,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Wind,-64680000.0,-4998220.96952407,-3234993.1731426087,-5345490.849477736,-6667546.950100012,-6805911.424121799,-7836292.775782904,-8868423.367282627,-9012954.983389622,-9160197.676503388,-9310462.9302078,-9463540.347937528,-9619770.164632753,-9778945.069390114,-9941408.458350332,-10106956.259221599,-10297813.681186281,-10491970.19450721,-10667691.585470293,-10846933.797716964,-11029776.129644398,-11229169.477888362,-11432327.274831958,-11626464.942268353,-11824539.346246317,-12026639.73812794
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H2,-1228276.918201666,-1228276.918201666,-1228276.918201666,-1228276.918201666,-1228276.918201666,-1228276.918201666,-1228276.918201666,-1228276.918201666,-1228276.918201666,-1228276.918201666,-1228276.918201666,-1228276.918201666,-1228276.918201666,-1228276.918201666,-1228276.918201666,-1228276.918201666,-1228276.918201666,-1228276.918201666,-1228276.918201666,-1228276.918201666,-1228276.918201666,-1228276.918201666,-1228276.918201666,-1228276.918201666,-1228276.918201666,
