,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Wind,-68992000.0,-5136894.271653579,-3251004.514821633,-5496958.260487131,-6901774.040291501,-7043848.434253342,-8137267.063465595,-9232407.577670656,-9380628.255345672,-9531589.4362154,-9685619.560101077,-9842490.299166135,-10002560.56795779,-10165605.131784802,-10331986.07395311,-10501481.406016808,-10697793.598373584,-10897440.222473785,-11077233.473320536,-11260588.264049707,-11447584.30024447,-11652030.869998436,-11860283.84086513,-12058701.073961858,-12261097.839256756,-12467563.816068485
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H2,-1776532.36706295,-1776532.36706295,-1776532.36706295,-1776532.36706295,-1776532.36706295,-1776532.36706295,-1776532.36706295,-1776532.36706295,-1776532.36706295,-1776532.36706295,-1776532.36706295,-1776532.36706295,-1776532.36706295,-1776532.36706295,-1776532.36706295,-1776532.36706295,-1776532.36706295,-1776532.36706295,-1776532.36706295,-1776532.36706295,-1776532.36706295,-1776532.36706295,-1776532.36706295,-1776532.36706295,-1776532.36706295,
