,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Wind,-68992000.0,-4611003.788006947,-2719855.126338536,-4960497.378119202,-6359948.549099892,-6496604.688149819,-7584550.879901036,-8674164.232270453,-8816802.476491466,-8962125.399572652,-9110460.8830919,-9261580.035386866,-9415841.20154073,-9573018.571703572,-9733473.648271069,-9896983.856077943,-10087251.072935332,-10280792.27178115,-10454419.043120975,-10631545.68954815,-10812251.299997896,-11010344.539749397,-11212180.647313602,-11404116.848474814,-11599967.77151484,-11799822.447649151
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H2,-1759219.8675981783,-1759219.8675981783,-1759219.8675981783,-1759219.8675981783,-1759219.8675981783,-1759219.8675981783,-1759219.8675981783,-1759219.8675981783,-1759219.8675981783,-1759219.8675981783,-1759219.8675981783,-1759219.8675981783,-1759219.8675981783,-1759219.8675981783,-1759219.8675981783,-1759219.8675981783,-1759219.8675981783,-1759219.8675981783,-1759219.8675981783,-1759219.8675981783,-1759219.8675981783,-1759219.8675981783,-1759219.8675981783,-1759219.8675981783,-1759219.8675981783,
