,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Wind,-68992000.0,-4809691.784965725,-2920530.0032669003,-5163179.003816851,-6564656.991054518,-6703360.214523991,-7793373.961538948,-8885075.544724744,-9029822.9020703,-9177276.029407274,-9327763.019224871,-9481055.192881167,-9637511.110609973,-9796905.179863507,-9959599.122512603,-10125370.585061893,-10317921.669209119,-10513769.574017677,-10689726.118379867,-10869205.83555963,-11052288.047469491,-11252781.654695708,-11457042.133409377,-11651426.949431546,-11849750.973481141,-12052103.481635114
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H2,-1766024.0409202336,-1766024.0409202336,-1766024.0409202336,-1766024.0409202336,-1766024.0409202336,-1766024.0409202336,-1766024.0409202336,-1766024.0409202336,-1766024.0409202336,-1766024.0409202336,-1766024.0409202336,-1766024.0409202336,-1766024.0409202336,-1766024.0409202336,-1766024.0409202336,-1766024.0409202336,-1766024.0409202336,-1766024.0409202336,-1766024.0409202336,-1766024.0409202336,-1766024.0409202336,-1766024.0409202336,-1766024.0409202336,-1766024.0409202336,-1766024.0409202336,
