,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Wind,-128380000.0,-2109122.2691003215,1515534.0314821256,-2546148.630621004,-5040421.611254712,-5182718.738133297,-7092950.886625216,-9004014.352154562,-9150628.983830526,-9299865.252713703,-9452279.890809618,-9607392.313910365,-9765813.358894717,-9927065.531359699,-10091762.833569013,-10259431.013957467,-10474112.894848906,-10692048.367233962,-10870024.034074314,-11051543.06495702,-11236684.983706858,-11451075.622141447,-11669253.935102573,-11865760.869141676,-12066228.23238837,-12270745.513131414
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H2,-4457520.390200036,-4457520.390200036,-4457520.390200036,-4457520.390200036,-4457520.390200036,-4457520.390200036,-4457520.390200036,-4457520.390200036,-4457520.390200036,-4457520.390200036,-4457520.390200036,-4457520.390200036,-4457520.390200036,-4457520.390200036,-4457520.390200036,-4457520.390200036,-4457520.390200036,-4457520.390200036,-4457520.390200036,-4457520.390200036,-4457520.390200036,-4457520.390200036,-4457520.390200036,-4457520.390200036,-4457520.390200036,
