,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Wind,-105938000.0,-2637198.6273907367,336559.8458579499,-3032758.605733016,-5109054.364265843,-5244919.827089674,-6840077.149970895,-8436338.214935306,-8577019.920300715,-8720302.782563692,-8866656.610917903,-9015695.48523483,-9167934.376892224,-9322990.443552282,-9481381.809843317,-9642728.864009613,-9843387.363546371,-10047259.18611625,-10218697.653206427,-10393614.112341456,-10572087.433626134,-10775277.391670918,-10982187.671407837,-11171823.942809993,-11365351.936793372,-11562860.454580467
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H2,-3364300.74602775,-3364300.74602775,-3364300.74602775,-3364300.74602775,-3364300.74602775,-3364300.74602775,-3364300.74602775,-3364300.74602775,-3364300.74602775,-3364300.74602775,-3364300.74602775,-3364300.74602775,-3364300.74602775,-3364300.74602775,-3364300.74602775,-3364300.74602775,-3364300.74602775,-3364300.74602775,-3364300.74602775,-3364300.74602775,-3364300.74602775,-3364300.74602775,-3364300.74602775,-3364300.74602775,-3364300.74602775,
