,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Wind,-64680000.0,-5286433.129018751,-3526087.4542322373,-5639496.07337826,-6964492.226239542,-7105826.153022725,-8139206.651972838,-9174366.38223446,-9321957.428490974,-9472290.146055754,-9625676.32445569,-9781905.876127895,-9941319.348105025,-10103709.744697109,-10269420.780410398,-10438248.704502266,-10632419.050919753,-10829921.617938016,-11009022.523135409,-11191678.044758728,-11377967.81915658,-11580843.084295668,-11787517.617303334,-11985207.188164445,-12186869.014601368,-12392592.703166544
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H2,-1237352.3289679463,-1237352.3289679463,-1237352.3289679463,-1237352.3289679463,-1237352.3289679463,-1237352.3289679463,-1237352.3289679463,-1237352.3289679463,-1237352.3289679463,-1237352.3289679463,-1237352.3289679463,-1237352.3289679463,-1237352.3289679463,-1237352.3289679463,-1237352.3289679463,-1237352.3289679463,-1237352.3289679463,-1237352.3289679463,-1237352.3289679463,-1237352.3289679463,-1237352.3289679463,-1237352.3289679463,-1237352.3289679463,-1237352.3289679463,-1237352.3289679463,
