,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Wind,-128380000.0,-715070.6580611989,2923526.1586316386,-1124076.582199995,-3604128.842349493,-3732063.0415390255,-5627788.633065001,-7524200.476058746,-7656016.968973752,-7790307.117708361,-7927626.174454223,-8067492.060391414,-8210514.102840578,-8356213.282745017,-8505202.062468186,-8657004.63514563,-8855662.252248952,-9057413.218208006,-9219042.5335581,-9384051.749435646,-9552518.755030267,-9750067.731178092,-9951235.965229584,-10130562.719569955,-10313678.101320935,-10500669.880753305
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H2,-4411571.761605838,-4411571.761605838,-4411571.761605838,-4411571.761605838,-4411571.761605838,-4411571.761605838,-4411571.761605838,-4411571.761605838,-4411571.761605838,-4411571.761605838,-4411571.761605838,-4411571.761605838,-4411571.761605838,-4411571.761605838,-4411571.761605838,-4411571.761605838,-4411571.761605838,-4411571.761605838,-4411571.761605838,-4411571.761605838,-4411571.761605838,-4411571.761605838,-4411571.761605838,-4411571.761605838,-4411571.761605838,
