,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Wind,-64680000.0,-1863179.8577189809,-68601.65021947026,-2147435.411325366,-3437510.957566118,-3543575.0716625666,-4541333.059799077,-5540514.054138962,-5651766.5771145215,-5765397.386165538,-5881714.636966571,-6000504.571763886,-6122104.030697376,-6246302.274115382,-6373439.235122854,-6503307.343761845,-6658128.2765719285,-6815887.935846712,-6954848.504223194,-7096962.285657391,-7242304.902464231,-7403823.538436393,-7568727.875985468,-7724229.5494334,-7883281.599483013,-8045969.413897003
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H2,-1126509.0946791407,-1126509.0946791407,-1126509.0946791407,-1126509.0946791407,-1126509.0946791407,-1126509.0946791407,-1126509.0946791407,-1126509.0946791407,-1126509.0946791407,-1126509.0946791407,-1126509.0946791407,-1126509.0946791407,-1126509.0946791407,-1126509.0946791407,-1126509.0946791407,-1126509.0946791407,-1126509.0946791407,-1126509.0946791407,-1126509.0946791407,-1126509.0946791407,-1126509.0946791407,-1126509.0946791407,-1126509.0946791407,-1126509.0946791407,-1126509.0946791407,
