,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Wind,-105938000.0,-2921958.023881952,48952.8554018233,-3323241.666093704,-5402442.255230139,-5541241.596963612,-7139362.137543572,-8738616.052383712,-8882320.536123602,-9028656.404544808,-9178093.769118832,-9330247.015017767,-9485631.421972994,-9643864.459083855,-9805464.565530207,-9970052.447253373,-10173984.182622567,-10381161.973383209,-10555939.468346054,-10734228.34563248,-10916107.80925007,-11122737.971051093,-11333122.856581815,-11526268.479835708,-11723340.919189345,-11924429.326800399
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H2,-3374430.0401032064,-3374430.0401032064,-3374430.0401032064,-3374430.0401032064,-3374430.0401032064,-3374430.0401032064,-3374430.0401032064,-3374430.0401032064,-3374430.0401032064,-3374430.0401032064,-3374430.0401032064,-3374430.0401032064,-3374430.0401032064,-3374430.0401032064,-3374430.0401032064,-3374430.0401032064,-3374430.0401032064,-3374430.0401032064,-3374430.0401032064,-3374430.0401032064,-3374430.0401032064,-3374430.0401032064,-3374430.0401032064,-3374430.0401032064,-3374430.0401032064,
