,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Wind,-128380000.0,-2112527.0601324937,1512095.1925396323,-2549621.8579529226,-5043929.57085995,-5186261.777334587,-7096529.356218519,-9007628.606443798,-9154279.380662654,-9303552.153514154,-9456003.660618072,-9611153.321416903,-9769611.976476321,-9930902.135117117,-10095637.803364007,-10263344.73345041,-10478065.75153678,-10696040.752488712,-10874056.343181614,-11055615.697155394,-11240798.342227213,-11455230.114247007,-11673449.972129188,-11869998.866538556,-12070508.60975922,-12275068.694275975
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H2,-4457315.34361808,-4457315.34361808,-4457315.34361808,-4457315.34361808,-4457315.34361808,-4457315.34361808,-4457315.34361808,-4457315.34361808,-4457315.34361808,-4457315.34361808,-4457315.34361808,-4457315.34361808,-4457315.34361808,-4457315.34361808,-4457315.34361808,-4457315.34361808,-4457315.34361808,-4457315.34361808,-4457315.34361808,-4457315.34361808,-4457315.34361808,-4457315.34361808,-4457315.34361808,-4457315.34361808,-4457315.34361808,
