,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Wind,-64680000.0,-4955174.370116826,-3191516.1077412935,-5301579.013422408,-6623195.995684129,-6761116.960161759,-7791050.3671832625,-8822728.534596989,-8966803.202377127,-9113584.37768077,-9263383.498396955,-9415990.121808574,-9571744.43624251,-9730439.08371597,-9892417.412819447,-10057475.303235404,-10247837.915640224,-10441494.67130569,-10616711.307036761,-10795443.716499094,-10977771.147614349,-11176644.446038015,-11379276.992663104,-11572884.157277813,-11770422.75340587,-11971981.97935909
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H2,-1226933.461468285,-1226933.461468285,-1226933.461468285,-1226933.461468285,-1226933.461468285,-1226933.461468285,-1226933.461468285,-1226933.461468285,-1226933.461468285,-1226933.461468285,-1226933.461468285,-1226933.461468285,-1226933.461468285,-1226933.461468285,-1226933.461468285,-1226933.461468285,-1226933.461468285,-1226933.461468285,-1226933.461468285,-1226933.461468285,-1226933.461468285,-1226933.461468285,-1226933.461468285,-1226933.461468285,-1226933.461468285,
