,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Wind,-128380000.0,-1954726.062962247,1671474.199681582,-2388649.0607395535,-4881347.045674448,-5022053.42689723,-6930678.922276787,-8840119.66816265,-8985095.352998696,-9132676.285573553,-9283419.033998067,-9436842.848530697,-9593558.398861255,-9753088.0217259,-9916045.548838876,-10081956.55638003,-10294863.692695694,-10511006.673059216,-10687171.922957823,-10866862.432729363,-11050157.545156922,-11262682.909206014,-11478977.295037786,-11673581.462676238,-11872127.03185828,-12074703.300596025
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H2,-4451762.821013531,-4451762.821013531,-4451762.821013531,-4451762.821013531,-4451762.821013531,-4451762.821013531,-4451762.821013531,-4451762.821013531,-4451762.821013531,-4451762.821013531,-4451762.821013531,-4451762.821013531,-4451762.821013531,-4451762.821013531,-4451762.821013531,-4451762.821013531,-4451762.821013531,-4451762.821013531,-4451762.821013531,-4451762.821013531,-4451762.821013531,-4451762.821013531,-4451762.821013531,-4451762.821013531,-4451762.821013531,
