,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Wind,-128380000.0,-1855644.4599214368,1771546.618752799,-2287575.9174776236,-4779263.170979898,-4918948.713455735,-6826543.161700878,-8734942.549980981,-8878866.46363521,-9025385.107316433,-9175054.943958376,-9327395.117590608,-9483016.190611765,-9641440.391393915,-9803281.442203572,-9968064.808678372,-10179833.02751702,-10394825.701228756,-10569829.141409056,-10748346.223365113,-10930456.173699029,-11141784.524033539,-11356869.926013587,-11550253.0199618,-11747565.304716695,-11948895.956183024
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H2,-4449247.456696958,-4449247.456696958,-4449247.456696958,-4449247.456696958,-4449247.456696958,-4449247.456696958,-4449247.456696958,-4449247.456696958,-4449247.456696958,-4449247.456696958,-4449247.456696958,-4449247.456696958,-4449247.456696958,-4449247.456696958,-4449247.456696958,-4449247.456696958,-4449247.456696958,-4449247.456696958,-4449247.456696958,-4449247.456696958,-4449247.456696958,-4449247.456696958,-4449247.456696958,-4449247.456696958,-4449247.456696958,
