,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Wind,-105938000.0,-1781319.8690918954,1200997.391739781,-2159676.6843923666,-4227241.623711789,-4354288.9591300795,-5940539.973331704,-7527805.6665297225,-7659402.046411074,-7793508.729935156,-7930594.6177630825,-8070272.872148462,-8213057.537674992,-8358564.835942876,-8507311.946157819,-8658918.30168726,-8849738.695600793,-9043674.031491216,-9205076.647035142,-9369856.89610846,-9538092.645230807,-9730942.655391637,-9927409.587765764,-10106498.0783315,-10289372.813670093,-10476121.540225955
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H2,-3336061.7580520874,-3336061.7580520874,-3336061.7580520874,-3336061.7580520874,-3336061.7580520874,-3336061.7580520874,-3336061.7580520874,-3336061.7580520874,-3336061.7580520874,-3336061.7580520874,-3336061.7580520874,-3336061.7580520874,-3336061.7580520874,-3336061.7580520874,-3336061.7580520874,-3336061.7580520874,-3336061.7580520874,-3336061.7580520874,-3336061.7580520874,-3336061.7580520874,-3336061.7580520874,-3336061.7580520874,-3336061.7580520874,-3336061.7580520874,-3336061.7580520874,
